id,Magnesium value,location,sample date,measure
5825,13.2,Chai,23-Aug-98,Magnesium
6303,12.6,Chai,23-Aug-98,Magnesium
6585,27.6,Somchair,24-Aug-98,Magnesium
8594,14.4,Kannika,25-Aug-98,Magnesium
9069,14.4,Kannika,25-Aug-98,Magnesium
9552,14.4,Kannika,25-Aug-98,Magnesium
9961,13.8,Sakda,26-Aug-98,Magnesium
2558,31.7,Boonsri,5-Sep-98,Magnesium
2921,26.9,Boonsri,5-Sep-98,Magnesium
8634,14.59,Kannika,20-Sep-98,Magnesium
9109,14.6,Kannika,20-Sep-98,Magnesium
9592,14.6,Kannika,20-Sep-98,Magnesium
5387,14.43,Chai,27-Sep-98,Magnesium
5865,17.87,Chai,27-Sep-98,Magnesium
6343,17.02,Chai,27-Sep-98,Magnesium
4943,14.8,Kohsoom,1-Oct-98,Magnesium
2598,14.4,Boonsri,3-Oct-98,Magnesium
2961,14.4,Boonsri,3-Oct-98,Magnesium
8674,15.6,Kannika,23-Oct-98,Magnesium
9149,15.6,Kannika,23-Oct-98,Magnesium
9632,16.2,Kannika,23-Oct-98,Magnesium
9758,12.6,Sakda,24-Oct-98,Magnesium
10001,12.6,Sakda,24-Oct-98,Magnesium
10121,13.2,Sakda,24-Oct-98,Magnesium
6745,21.6,Busarakhan,29-Oct-98,Magnesium
5427,15.6,Chai,30-Oct-98,Magnesium
5905,15.6,Chai,30-Oct-98,Magnesium
6383,15.6,Chai,30-Oct-98,Magnesium
6625,19.8,Somchair,30-Oct-98,Magnesium
2638,9.7,Boonsri,7-Nov-98,Magnesium
3001,12.1,Boonsri,7-Nov-98,Magnesium
4983,15.2,Kohsoom,14-Nov-98,Magnesium
8714,16.05,Kannika,20-Nov-98,Magnesium
9189,15.6,Kannika,20-Nov-98,Magnesium
9672,16,Kannika,20-Nov-98,Magnesium
9798,14.1,Sakda,20-Nov-98,Magnesium
10041,14.59,Sakda,20-Nov-98,Magnesium
10161,13.62,Sakda,20-Nov-98,Magnesium
5467,18.96,Chai,26-Nov-98,Magnesium
5945,18.96,Chai,26-Nov-98,Magnesium
6423,19,Chai,26-Nov-98,Magnesium
6665,23.6,Somchair,28-Nov-98,Magnesium
6785,28.21,Busarakhan,28-Nov-98,Magnesium
2678,7.3,Boonsri,5-Dec-98,Magnesium
3041,4.8,Boonsri,5-Dec-98,Magnesium
9838,19.4,Sakda,10-Dec-98,Magnesium
10081,18.5,Sakda,10-Dec-98,Magnesium
10201,18.5,Sakda,10-Dec-98,Magnesium
5023,26,Kohsoom,13-Dec-98,Magnesium
8748,19,Kannika,17-Dec-98,Magnesium
9229,15.6,Kannika,17-Dec-98,Magnesium
9712,17.5,Kannika,17-Dec-98,Magnesium
5507,15.6,Chai,18-Dec-98,Magnesium
5985,15.6,Chai,18-Dec-98,Magnesium
6463,15.6,Chai,18-Dec-98,Magnesium
6705,21,Somchair,19-Dec-98,Magnesium
6825,22.2,Busarakhan,19-Dec-98,Magnesium
40987,17,Boonsri,9-Jan-99,Magnesium
41740,19.4,Boonsri,9-Jan-99,Magnesium
42121,17,Boonsri,9-Jan-99,Magnesium
45729,19.2,Kohsoom,16-Jan-99,Magnesium
52447,13.62,Sakda,16-Jan-99,Magnesium
52868,14.1,Sakda,16-Jan-99,Magnesium
53629,13.62,Sakda,16-Jan-99,Magnesium
50872,13.62,Kannika,21-Jan-99,Magnesium
51289,13.13,Kannika,21-Jan-99,Magnesium
52046,13.62,Kannika,21-Jan-99,Magnesium
48093,33.07,Somchair,27-Jan-99,Magnesium
48861,40.12,Busarakhan,27-Jan-99,Magnesium
46123,30.64,Chai,30-Jan-99,Magnesium
46915,23.59,Chai,30-Jan-99,Magnesium
47319,28.21,Chai,30-Jan-99,Magnesium
41011,23.28,Boonsri,11-Feb-99,Magnesium
41770,12.61,Boonsri,11-Feb-99,Magnesium
42145,22.31,Boonsri,11-Feb-99,Magnesium
45761,17,Kohsoom,13-Feb-99,Magnesium
46162,16.2,Chai,18-Feb-99,Magnesium
46953,15.07,Chai,18-Feb-99,Magnesium
47357,15.07,Chai,18-Feb-99,Magnesium
48130,30.64,Somchair,20-Feb-99,Magnesium
48898,42.31,Busarakhan,20-Feb-99,Magnesium
50905,15.56,Kannika,26-Feb-99,Magnesium
51323,14.15,Kannika,26-Feb-99,Magnesium
52079,16.04,Kannika,26-Feb-99,Magnesium
52480,14.62,Sakda,27-Feb-99,Magnesium
52900,16.04,Sakda,27-Feb-99,Magnesium
53662,15.09,Sakda,27-Feb-99,Magnesium
41046,10.67,Boonsri,11-Mar-99,Magnesium
41804,10.67,Boonsri,11-Mar-99,Magnesium
42179,10.67,Boonsri,11-Mar-99,Magnesium
45791,19.2,Kohsoom,13-Mar-99,Magnesium
46201,23.59,Chai,17-Mar-99,Magnesium
46991,23.59,Chai,17-Mar-99,Magnesium
47395,21.15,Chai,17-Mar-99,Magnesium
48166,28.4,Somchair,19-Mar-99,Magnesium
48934,42.31,Busarakhan,19-Mar-99,Magnesium
50940,16.53,Kannika,24-Mar-99,Magnesium
51357,16.53,Kannika,24-Mar-99,Magnesium
52112,16.53,Kannika,24-Mar-99,Magnesium
52516,15.07,Sakda,25-Mar-99,Magnesium
52935,15.07,Sakda,25-Mar-99,Magnesium
53696,14.59,Sakda,25-Mar-99,Magnesium
41081,11.1,Boonsri,16-Apr-99,Magnesium
41835,11.4,Boonsri,16-Apr-99,Magnesium
42211,11.4,Boonsri,16-Apr-99,Magnesium
45826,19.2,Kohsoom,22-Apr-99,Magnesium
46238,12,Chai,22-Apr-99,Magnesium
47026,12.6,Chai,22-Apr-99,Magnesium
47431,12,Chai,22-Apr-99,Magnesium
48200,15.6,Somchair,23-Apr-99,Magnesium
48969,37.2,Busarakhan,23-Apr-99,Magnesium
50976,12,Kannika,23-Apr-99,Magnesium
51390,12,Kannika,23-Apr-99,Magnesium
52146,12,Kannika,23-Apr-99,Magnesium
52553,12,Sakda,26-Apr-99,Magnesium
52968,12,Sakda,26-Apr-99,Magnesium
53730,12,Sakda,26-Apr-99,Magnesium
41114,11.6,Boonsri,13-May-99,Magnesium
41866,10.7,Boonsri,13-May-99,Magnesium
42245,15.5,Boonsri,13-May-99,Magnesium
45858,18.5,Kohsoom,15-May-99,Magnesium
46272,17,Chai,20-May-99,Magnesium
47058,15.8,Chai,20-May-99,Magnesium
47464,19.4,Chai,20-May-99,Magnesium
52584,25.7,Sakda,26-May-99,Magnesium
52999,26,Sakda,26-May-99,Magnesium
53761,13.5,Sakda,26-May-99,Magnesium
48230,26.7,Somchair,27-May-99,Magnesium
48999,38.9,Busarakhan,27-May-99,Magnesium
51007,13.5,Kannika,28-May-99,Magnesium
51421,14,Kannika,28-May-99,Magnesium
52179,14,Kannika,28-May-99,Magnesium
41149,12,Boonsri,6-Jun-99,Magnesium
41899,12,Boonsri,6-Jun-99,Magnesium
42279,12,Boonsri,6-Jun-99,Magnesium
45891,19.8,Kohsoom,18-Jun-99,Magnesium
46306,8.4,Chai,19-Jun-99,Magnesium
47091,8.4,Chai,19-Jun-99,Magnesium
47498,8.4,Chai,19-Jun-99,Magnesium
48261,17.4,Somchair,22-Jun-99,Magnesium
49032,17.4,Busarakhan,22-Jun-99,Magnesium
51041,10.8,Kannika,23-Jun-99,Magnesium
51453,10.8,Kannika,23-Jun-99,Magnesium
52213,10.8,Kannika,23-Jun-99,Magnesium
52621,12,Sakda,25-Jun-99,Magnesium
53035,12,Sakda,25-Jun-99,Magnesium
53794,12,Sakda,25-Jun-99,Magnesium
41180,12.6,Boonsri,22-Jul-99,Magnesium
41929,13.6,Boonsri,22-Jul-99,Magnesium
42309,12.6,Boonsri,22-Jul-99,Magnesium
46346,17.5,Chai,22-Jul-99,Magnesium
47122,17.5,Chai,22-Jul-99,Magnesium
47529,17.5,Chai,22-Jul-99,Magnesium
45929,17.2,Kohsoom,24-Jul-99,Magnesium
48295,15.1,Somchair,24-Jul-99,Magnesium
49070,20.2,Busarakhan,24-Jul-99,Magnesium
51081,17.5,Kannika,25-Jul-99,Magnesium
51485,22.6,Kannika,25-Jul-99,Magnesium
52245,22.6,Kannika,25-Jul-99,Magnesium
53826,25.7,Sakda,26-Jul-99,Magnesium
52660,17.5,Sakda,28-Jul-99,Magnesium
53067,15.1,Sakda,28-Jul-99,Magnesium
53863,15.1,Sakda,28-Jul-99,Magnesium
41212,9.6,Boonsri,19-Aug-99,Magnesium
41960,9.6,Boonsri,19-Aug-99,Magnesium
45966,11.4,Kohsoom,28-Aug-99,Magnesium
46385,8.4,Chai,28-Aug-99,Magnesium
47153,8.4,Chai,28-Aug-99,Magnesium
47561,8.4,Chai,28-Aug-99,Magnesium
48333,12,Somchair,29-Aug-99,Magnesium
49108,15.6,Busarakhan,30-Aug-99,Magnesium
51120,11.4,Kannika,30-Aug-99,Magnesium
51516,11.4,Kannika,30-Aug-99,Magnesium
52277,11.4,Kannika,30-Aug-99,Magnesium
52699,11.4,Sakda,31-Aug-99,Magnesium
53098,10.8,Sakda,31-Aug-99,Magnesium
53895,11.4,Sakda,31-Aug-99,Magnesium
41243,9.8,Boonsri,16-Sep-99,Magnesium
41990,9.8,Boonsri,16-Sep-99,Magnesium
46417,19.2,Chai,16-Sep-99,Magnesium
47184,18.7,Chai,16-Sep-99,Magnesium
47593,19.2,Chai,16-Sep-99,Magnesium
45996,19.6,Kohsoom,18-Sep-99,Magnesium
48363,24.1,Somchair,18-Sep-99,Magnesium
49138,25.7,Busarakhan,18-Sep-99,Magnesium
51152,19.5,Kannika,19-Sep-99,Magnesium
51547,19.5,Kannika,19-Sep-99,Magnesium
52309,19.5,Kannika,19-Sep-99,Magnesium
52731,20.5,Sakda,21-Sep-99,Magnesium
53129,20.5,Sakda,21-Sep-99,Magnesium
53927,20.5,Sakda,21-Sep-99,Magnesium
41278,14.4,Boonsri,10-Oct-99,Magnesium
42024,14.4,Boonsri,10-Oct-99,Magnesium
46027,24.6,Kohsoom,20-Oct-99,Magnesium
46449,17.4,Chai,21-Oct-99,Magnesium
47215,17.4,Chai,21-Oct-99,Magnesium
47625,19.2,Chai,21-Oct-99,Magnesium
48394,20.4,Somchair,21-Oct-99,Magnesium
49169,21.6,Busarakhan,22-Oct-99,Magnesium
51184,16.8,Kannika,22-Oct-99,Magnesium
51578,16.8,Kannika,22-Oct-99,Magnesium
52341,16.8,Kannika,22-Oct-99,Magnesium
52763,16.8,Sakda,23-Oct-99,Magnesium
53160,17.4,Sakda,23-Oct-99,Magnesium
53959,16.8,Sakda,23-Oct-99,Magnesium
41312,12.6,Boonsri,5-Nov-99,Magnesium
42057,13.6,Boonsri,5-Nov-99,Magnesium
46060,24,Kohsoom,7-Nov-99,Magnesium
46481,19.5,Chai,18-Nov-99,Magnesium
47249,21.1,Chai,18-Nov-99,Magnesium
47658,18.7,Chai,18-Nov-99,Magnesium
48427,13.1,Somchair,20-Nov-99,Magnesium
49202,31.6,Busarakhan,20-Nov-99,Magnesium
51219,25.7,Kannika,26-Nov-99,Magnesium
51612,23.3,Kannika,26-Nov-99,Magnesium
52376,28.4,Kannika,26-Nov-99,Magnesium
52798,33.3,Sakda,26-Nov-99,Magnesium
53194,28.7,Sakda,26-Nov-99,Magnesium
53994,38.1,Sakda,26-Nov-99,Magnesium
41344,10.8,Boonsri,9-Dec-99,Magnesium
42088,11.6,Boonsri,9-Dec-99,Magnesium
46516,23.8,Chai,9-Dec-99,Magnesium
47283,21.4,Chai,9-Dec-99,Magnesium
47693,23.8,Chai,9-Dec-99,Magnesium
48461,16.8,Somchair,10-Dec-99,Magnesium
49236,16.5,Busarakhan,10-Dec-99,Magnesium
46090,22,Kohsoom,11-Dec-99,Magnesium
52833,28.4,Sakda,15-Dec-99,Magnesium
53228,26.2,Sakda,15-Dec-99,Magnesium
54029,18.9,Sakda,15-Dec-99,Magnesium
51254,19.2,Kannika,16-Dec-99,Magnesium
51646,16.8,Kannika,16-Dec-99,Magnesium
52411,19.2,Kannika,16-Dec-99,Magnesium
97487,12.7,Boonsri,14-Jan-00,Magnesium
98279,8.7,Boonsri,14-Jan-00,Magnesium
104631,15.5,Chai,14-Jan-00,Magnesium
105434,15.5,Chai,14-Jan-00,Magnesium
106226,15.5,Chai,14-Jan-00,Magnesium
107016,23.1,Somchair,15-Jan-00,Magnesium
107823,36.2,Busarakhan,15-Jan-00,Magnesium
103823,21,Kohsoom,16-Jan-00,Magnesium
110660,28.4,Kannika,19-Jan-00,Magnesium
111461,33.6,Kannika,19-Jan-00,Magnesium
112258,26,Kannika,19-Jan-00,Magnesium
113057,26,Sakda,19-Jan-00,Magnesium
113858,25.7,Sakda,19-Jan-00,Magnesium
114653,23.3,Sakda,19-Jan-00,Magnesium
96729,19.4,Boonsri,10-Feb-00,Magnesium
97525,19.4,Boonsri,10-Feb-00,Magnesium
98314,19.4,Boonsri,10-Feb-00,Magnesium
103858,24,Kohsoom,12-Feb-00,Magnesium
104668,17.6,Chai,18-Feb-00,Magnesium
105471,23.1,Chai,18-Feb-00,Magnesium
106263,21.1,Chai,18-Feb-00,Magnesium
110697,25.8,Kannika,18-Feb-00,Magnesium
111498,26,Kannika,18-Feb-00,Magnesium
112295,20.6,Kannika,18-Feb-00,Magnesium
107053,15,Somchair,19-Feb-00,Magnesium
107860,20.9,Busarakhan,19-Feb-00,Magnesium
113094,20.6,Sakda,19-Feb-00,Magnesium
113895,26,Sakda,19-Feb-00,Magnesium
114690,26,Sakda,19-Feb-00,Magnesium
96767,8.7,Boonsri,10-Mar-00,Magnesium
97563,9,Boonsri,10-Mar-00,Magnesium
98352,10.5,Boonsri,10-Mar-00,Magnesium
103896,27,Kohsoom,12-Mar-00,Magnesium
104705,15.5,Chai,18-Mar-00,Magnesium
105508,15.5,Chai,18-Mar-00,Magnesium
106300,15.5,Chai,18-Mar-00,Magnesium
107090,26,Somchair,19-Mar-00,Magnesium
107897,28.4,Busarakhan,19-Mar-00,Magnesium
113131,23.3,Sakda,23-Mar-00,Magnesium
113932,26,Sakda,23-Mar-00,Magnesium
114727,31.1,Sakda,23-Mar-00,Magnesium
110734,20.9,Kannika,24-Mar-00,Magnesium
111535,15.5,Kannika,24-Mar-00,Magnesium
112332,20.9,Kannika,24-Mar-00,Magnesium
96805,13.6,Boonsri,14-Apr-00,Magnesium
97598,13.6,Boonsri,14-Apr-00,Magnesium
98387,12.6,Boonsri,14-Apr-00,Magnesium
103934,24,Kohsoom,16-Apr-00,Magnesium
104743,12.6,Chai,28-Apr-00,Magnesium
105546,13.2,Chai,28-Apr-00,Magnesium
106338,13.2,Chai,28-Apr-00,Magnesium
107128,17.4,Somchair,28-Apr-00,Magnesium
107935,30,Busarakhan,29-Apr-00,Magnesium
110772,16.2,Kannika,29-Apr-00,Magnesium
111573,16.2,Kannika,29-Apr-00,Magnesium
112370,16.2,Kannika,29-Apr-00,Magnesium
113169,16.8,Sakda,29-Apr-00,Magnesium
113970,16.8,Sakda,29-Apr-00,Magnesium
114765,16.8,Sakda,29-Apr-00,Magnesium
96844,13.6,Boonsri,12-May-00,Magnesium
97637,11.6,Boonsri,12-May-00,Magnesium
98426,3.7,Boonsri,12-May-00,Magnesium
103973,22,Kohsoom,14-May-00,Magnesium
104780,19.1,Chai,19-May-00,Magnesium
105584,19.1,Chai,19-May-00,Magnesium
106376,19.1,Chai,19-May-00,Magnesium
107166,28.1,Somchair,20-May-00,Magnesium
113208,25.7,Sakda,26-May-00,Magnesium
114009,26,Sakda,26-May-00,Magnesium
114803,25.7,Sakda,26-May-00,Magnesium
107974,28.3,Busarakhan,27-May-00,Magnesium
110810,20.6,Kannika,27-May-00,Magnesium
111611,23,Kannika,27-May-00,Magnesium
112407,20.4,Kannika,27-May-00,Magnesium
96881,14.1,Boonsri,9-Jun-00,Magnesium
97673,14.1,Boonsri,9-Jun-00,Magnesium
98462,14.9,Boonsri,9-Jun-00,Magnesium
113246,16.4,Sakda,24-Jun-00,Magnesium
114047,17.6,Sakda,24-Jun-00,Magnesium
114841,17.3,Sakda,24-Jun-00,Magnesium
110848,16.1,Kannika,25-Jun-00,Magnesium
111649,16.4,Kannika,25-Jun-00,Magnesium
112445,17.6,Kannika,25-Jun-00,Magnesium
108012,26.4,Busarakhan,26-Jun-00,Magnesium
107204,18.5,Somchair,27-Jun-00,Magnesium
104818,15.1,Chai,28-Jun-00,Magnesium
105622,16.2,Chai,28-Jun-00,Magnesium
106414,15.7,Chai,28-Jun-00,Magnesium
104011,13.5,Kohsoom,29-Jun-00,Magnesium
96920,14.5,Boonsri,14-Jul-00,Magnesium
97712,50.2,Boonsri,14-Jul-00,Magnesium
98501,55.4,Boonsri,14-Jul-00,Magnesium
104055,19.5,Kohsoom,16-Jul-00,Magnesium
104859,16.8,Chai,21-Jul-00,Magnesium
105660,16.8,Chai,21-Jul-00,Magnesium
106451,16.8,Chai,21-Jul-00,Magnesium
107246,14.3,Somchair,27-Jul-00,Magnesium
108054,16.8,Busarakhan,28-Jul-00,Magnesium
110883,12.2,Kannika,28-Jul-00,Magnesium
111685,12.6,Kannika,28-Jul-00,Magnesium
112486,12.6,Kannika,28-Jul-00,Magnesium
113281,12.2,Sakda,29-Jul-00,Magnesium
114083,12.2,Sakda,29-Jul-00,Magnesium
114882,12.2,Sakda,29-Jul-00,Magnesium
96955,9.6,Boonsri,17-Aug-00,Magnesium
97747,9.6,Boonsri,17-Aug-00,Magnesium
98536,9.6,Boonsri,17-Aug-00,Magnesium
104096,18.6,Kohsoom,25-Aug-00,Magnesium
104901,12,Chai,26-Aug-00,Magnesium
105692,11.4,Chai,26-Aug-00,Magnesium
106483,12,Chai,26-Aug-00,Magnesium
107286,12.6,Somchair,27-Aug-00,Magnesium
108094,19.8,Busarakhan,28-Aug-00,Magnesium
110924,12.6,Kannika,28-Aug-00,Magnesium
111720,12,Kannika,28-Aug-00,Magnesium
112521,12,Kannika,28-Aug-00,Magnesium
113322,12.6,Sakda,29-Aug-00,Magnesium
114118,13.2,Sakda,29-Aug-00,Magnesium
114917,12,Sakda,29-Aug-00,Magnesium
96989,11.6,Boonsri,8-Sep-00,Magnesium
97782,12.6,Boonsri,8-Sep-00,Magnesium
98570,11.6,Boonsri,8-Sep-00,Magnesium
104132,26,Kohsoom,10-Sep-00,Magnesium
113357,21.3,Sakda,21-Sep-00,Magnesium
114152,18.4,Sakda,21-Sep-00,Magnesium
114951,18.7,Sakda,21-Sep-00,Magnesium
104935,17.3,Chai,23-Sep-00,Magnesium
105727,18.9,Chai,23-Sep-00,Magnesium
106518,18.9,Chai,23-Sep-00,Magnesium
110958,21.3,Kannika,23-Sep-00,Magnesium
111755,22.3,Kannika,23-Sep-00,Magnesium
112555,21.3,Kannika,23-Sep-00,Magnesium
107320,21.1,Somchair,24-Sep-00,Magnesium
108130,26.9,Busarakhan,24-Sep-00,Magnesium
97023,8.7,Boonsri,6-Oct-00,Magnesium
97816,8.7,Boonsri,6-Oct-00,Magnesium
98604,9.7,Boonsri,6-Oct-00,Magnesium
104167,24,Kohsoom,15-Oct-00,Magnesium
104970,17.4,Chai,16-Oct-00,Magnesium
105762,17.4,Chai,16-Oct-00,Magnesium
106550,17.4,Chai,16-Oct-00,Magnesium
107355,20.4,Somchair,17-Oct-00,Magnesium
108165,23.4,Busarakhan,18-Oct-00,Magnesium
110992,17.4,Kannika,18-Oct-00,Magnesium
111790,17.4,Kannika,18-Oct-00,Magnesium
112589,17.4,Kannika,18-Oct-00,Magnesium
113391,16.8,Sakda,19-Oct-00,Magnesium
114186,18,Sakda,19-Oct-00,Magnesium
114985,17.4,Sakda,19-Oct-00,Magnesium
97058,10.7,Boonsri,10-Nov-00,Magnesium
97851,11.6,Boonsri,10-Nov-00,Magnesium
98639,10.7,Boonsri,10-Nov-00,Magnesium
104201,27,Kohsoom,12-Nov-00,Magnesium
105005,19.5,Chai,18-Nov-00,Magnesium
105797,20.1,Chai,18-Nov-00,Magnesium
106584,19.4,Chai,18-Nov-00,Magnesium
107390,20.4,Somchair,23-Nov-00,Magnesium
113426,23.1,Sakda,23-Nov-00,Magnesium
114221,28.4,Sakda,23-Nov-00,Magnesium
115020,23.1,Sakda,23-Nov-00,Magnesium
108199,25.8,Busarakhan,24-Nov-00,Magnesium
111028,28.4,Kannika,25-Nov-00,Magnesium
111825,28.2,Kannika,25-Nov-00,Magnesium
112624,28.4,Kannika,25-Nov-00,Magnesium
105039,25.2,Chai,3-Dec-00,Magnesium
105831,27.7,Chai,3-Dec-00,Magnesium
106617,25.2,Chai,3-Dec-00,Magnesium
107424,28.2,Somchair,4-Dec-00,Magnesium
108232,49.6,Busarakhan,4-Dec-00,Magnesium
97092,11.6,Boonsri,8-Dec-00,Magnesium
97884,12.6,Boonsri,8-Dec-00,Magnesium
98672,11.6,Boonsri,8-Dec-00,Magnesium
104235,24,Kohsoom,10-Dec-00,Magnesium
111062,20.6,Kannika,30-Dec-00,Magnesium
111859,20.8,Kannika,30-Dec-00,Magnesium
112658,23.1,Kannika,30-Dec-00,Magnesium
113460,20.8,Sakda,30-Dec-00,Magnesium
114255,23.1,Sakda,30-Dec-00,Magnesium
115054,23.1,Sakda,30-Dec-00,Magnesium
166039,19.7,Chai,16-Jan-01,Magnesium
166758,17.3,Chai,16-Jan-01,Magnesium
167474,17.6,Chai,16-Jan-01,Magnesium
168190,26.5,Somchair,17-Jan-01,Magnesium
168897,35.9,Busarakhan,17-Jan-01,Magnesium
158806,16.9,Boonsri,20-Jan-01,Magnesium
159492,17.1,Boonsri,20-Jan-01,Magnesium
160175,14.5,Boonsri,20-Jan-01,Magnesium
173715,26,Sakda,25-Jan-01,Magnesium
174461,17.3,Sakda,25-Jan-01,Magnesium
175207,17.3,Sakda,25-Jan-01,Magnesium
171486,24.5,Kannika,27-Jan-01,Magnesium
172230,26.9,Kannika,27-Jan-01,Magnesium
172973,29.4,Kannika,27-Jan-01,Magnesium
165286,26,Kohsoom,28-Jan-01,Magnesium
166073,14.8,Chai,17-Feb-01,Magnesium
166792,14.6,Chai,17-Feb-01,Magnesium
167508,14.8,Chai,17-Feb-01,Magnesium
165322,24,Kohsoom,18-Feb-01,Magnesium
168222,14.6,Somchair,18-Feb-01,Magnesium
168930,41.6,Busarakhan,18-Feb-01,Magnesium
173750,14.8,Sakda,22-Feb-01,Magnesium
174496,14.6,Sakda,22-Feb-01,Magnesium
175242,14.6,Sakda,22-Feb-01,Magnesium
171521,21.5,Kannika,24-Feb-01,Magnesium
172265,24.6,Kannika,24-Feb-01,Magnesium
173008,19.5,Kannika,24-Feb-01,Magnesium
158830,12.1,Boonsri,10-Mar-01,Magnesium
159516,14.7,Boonsri,10-Mar-01,Magnesium
160199,16.9,Boonsri,10-Mar-01,Magnesium
165358,24,Kohsoom,18-Mar-01,Magnesium
173787,16.8,Sakda,22-Mar-01,Magnesium
174533,16.8,Sakda,22-Mar-01,Magnesium
175279,19.2,Sakda,22-Mar-01,Magnesium
171558,21.6,Kannika,25-Mar-01,Magnesium
172302,16.8,Kannika,25-Mar-01,Magnesium
173045,16.8,Kannika,25-Mar-01,Magnesium
166110,14.6,Chai,31-Mar-01,Magnesium
166829,14.3,Chai,31-Mar-01,Magnesium
167545,14.3,Chai,31-Mar-01,Magnesium
168259,26.5,Somchair,31-Mar-01,Magnesium
168967,38.4,Busarakhan,31-Mar-01,Magnesium
158854,18,Boonsri,19-Apr-01,Magnesium
159540,17.8,Boonsri,19-Apr-01,Magnesium
160223,17.8,Boonsri,19-Apr-01,Magnesium
165392,4.2,Kohsoom,27-Apr-01,Magnesium
166147,12,Chai,27-Apr-01,Magnesium
166866,12,Chai,27-Apr-01,Magnesium
167582,12.6,Chai,27-Apr-01,Magnesium
168296,12.6,Somchair,29-Apr-01,Magnesium
169004,30.6,Busarakhan,29-Apr-01,Magnesium
171595,11.4,Kannika,29-Apr-01,Magnesium
172339,12,Kannika,29-Apr-01,Magnesium
173082,12,Kannika,29-Apr-01,Magnesium
173824,12,Sakda,30-Apr-01,Magnesium
174570,12,Sakda,30-Apr-01,Magnesium
175316,12,Sakda,30-Apr-01,Magnesium
158888,12.1,Boonsri,4-May-01,Magnesium
159573,12.1,Boonsri,4-May-01,Magnesium
160256,12.1,Boonsri,4-May-01,Magnesium
165427,26,Kohsoom,13-May-01,Magnesium
166182,19.2,Chai,27-May-01,Magnesium
166901,21.6,Chai,27-May-01,Magnesium
167617,19.2,Chai,27-May-01,Magnesium
171630,16.9,Kannika,27-May-01,Magnesium
172374,16.9,Kannika,27-May-01,Magnesium
173117,19.2,Kannika,27-May-01,Magnesium
173859,14.3,Sakda,27-May-01,Magnesium
