id,Ammonium value,location,sample date,measure
9221,0.17,Kannika,17-Dec-98,Ammonium
9704,0.18,Kannika,17-Dec-98,Ammonium
5499,0.27,Chai,18-Dec-98,Ammonium
5977,0.39,Chai,18-Dec-98,Ammonium
6455,0.27,Chai,18-Dec-98,Ammonium
6697,1.47,Somchair,19-Dec-98,Ammonium
6817,0.47,Busarakhan,19-Dec-98,Ammonium
40979,0.43,Boonsri,9-Jan-99,Ammonium
41732,0.54,Boonsri,9-Jan-99,Ammonium
42113,0.38,Boonsri,9-Jan-99,Ammonium
45721,0.4,Kohsoom,16-Jan-99,Ammonium
52439,0.49,Sakda,16-Jan-99,Ammonium
52860,0.48,Sakda,16-Jan-99,Ammonium
53621,0.49,Sakda,16-Jan-99,Ammonium
50864,0.46,Kannika,21-Jan-99,Ammonium
51281,0.45,Kannika,21-Jan-99,Ammonium
52038,0.46,Kannika,21-Jan-99,Ammonium
48085,2.62,Somchair,27-Jan-99,Ammonium
48853,1.76,Busarakhan,27-Jan-99,Ammonium
46115,0.67,Chai,30-Jan-99,Ammonium
46907,0.74,Chai,30-Jan-99,Ammonium
47311,0.56,Chai,30-Jan-99,Ammonium
41003,0.66,Boonsri,11-Feb-99,Ammonium
41762,0.83,Boonsri,11-Feb-99,Ammonium
42137,0.48,Boonsri,11-Feb-99,Ammonium
45753,1.6,Kohsoom,13-Feb-99,Ammonium
46154,0.76,Chai,18-Feb-99,Ammonium
46945,0.24,Chai,18-Feb-99,Ammonium
47349,0.44,Chai,18-Feb-99,Ammonium
48122,3.4,Somchair,20-Feb-99,Ammonium
48890,0.55,Busarakhan,20-Feb-99,Ammonium
50897,0.93,Kannika,26-Feb-99,Ammonium
51315,0.91,Kannika,26-Feb-99,Ammonium
52071,0.98,Kannika,26-Feb-99,Ammonium
52472,0.66,Sakda,27-Feb-99,Ammonium
52892,0.65,Sakda,27-Feb-99,Ammonium
53654,0.65,Sakda,27-Feb-99,Ammonium
41038,0.59,Boonsri,11-Mar-99,Ammonium
41796,0.51,Boonsri,11-Mar-99,Ammonium
42171,0.58,Boonsri,11-Mar-99,Ammonium
45783,0.24,Kohsoom,13-Mar-99,Ammonium
46193,0.12,Chai,17-Mar-99,Ammonium
46983,0.24,Chai,17-Mar-99,Ammonium
47387,0.09,Chai,17-Mar-99,Ammonium
48158,3.1,Somchair,19-Mar-99,Ammonium
48926,0.13,Busarakhan,19-Mar-99,Ammonium
50932,0.55,Kannika,24-Mar-99,Ammonium
51349,0.55,Kannika,24-Mar-99,Ammonium
52104,0.55,Kannika,24-Mar-99,Ammonium
52508,0.24,Sakda,25-Mar-99,Ammonium
52927,0.24,Sakda,25-Mar-99,Ammonium
53688,0.24,Sakda,25-Mar-99,Ammonium
41073,0.17,Boonsri,16-Apr-99,Ammonium
41827,0.18,Boonsri,16-Apr-99,Ammonium
42203,0.19,Boonsri,16-Apr-99,Ammonium
45818,1.17,Kohsoom,22-Apr-99,Ammonium
46230,0.16,Chai,22-Apr-99,Ammonium
47018,0.15,Chai,22-Apr-99,Ammonium
47423,0.16,Chai,22-Apr-99,Ammonium
48192,0.24,Somchair,23-Apr-99,Ammonium
48961,0.24,Busarakhan,23-Apr-99,Ammonium
50968,0.21,Kannika,23-Apr-99,Ammonium
51382,0.19,Kannika,23-Apr-99,Ammonium
52138,0.17,Kannika,23-Apr-99,Ammonium
52545,0.19,Sakda,26-Apr-99,Ammonium
52960,0.2,Sakda,26-Apr-99,Ammonium
53722,0.17,Sakda,26-Apr-99,Ammonium
41106,0.34,Boonsri,13-May-99,Ammonium
41858,0.17,Boonsri,13-May-99,Ammonium
42237,0.38,Boonsri,13-May-99,Ammonium
45850,0.5,Kohsoom,15-May-99,Ammonium
46264,0.23,Chai,20-May-99,Ammonium
47050,0.25,Chai,20-May-99,Ammonium
47456,0.16,Chai,20-May-99,Ammonium
52576,1.44,Sakda,26-May-99,Ammonium
52991,0.81,Sakda,26-May-99,Ammonium
53753,0.43,Sakda,26-May-99,Ammonium
48222,0.86,Somchair,27-May-99,Ammonium
48991,0.86,Busarakhan,27-May-99,Ammonium
50999,0.34,Kannika,28-May-99,Ammonium
51413,0.31,Kannika,28-May-99,Ammonium
52171,0.31,Kannika,28-May-99,Ammonium
41141,0.15,Boonsri,6-Jun-99,Ammonium
41891,0.18,Boonsri,6-Jun-99,Ammonium
42271,0.16,Boonsri,6-Jun-99,Ammonium
45883,0.88,Kohsoom,18-Jun-99,Ammonium
46298,0.18,Chai,19-Jun-99,Ammonium
47083,0.15,Chai,19-Jun-99,Ammonium
47490,0.15,Chai,19-Jun-99,Ammonium
48253,0.2,Somchair,22-Jun-99,Ammonium
49024,0.2,Busarakhan,22-Jun-99,Ammonium
51033,0.24,Kannika,23-Jun-99,Ammonium
51445,0.16,Kannika,23-Jun-99,Ammonium
52205,0.17,Kannika,23-Jun-99,Ammonium
52613,0.05,Sakda,25-Jun-99,Ammonium
53027,0.06,Sakda,25-Jun-99,Ammonium
53786,0.05,Sakda,25-Jun-99,Ammonium
41172,0.17,Boonsri,22-Jul-99,Ammonium
41921,0.12,Boonsri,22-Jul-99,Ammonium
42301,0.17,Boonsri,22-Jul-99,Ammonium
46338,0.39,Chai,22-Jul-99,Ammonium
47114,0.4,Chai,22-Jul-99,Ammonium
47521,0.46,Chai,22-Jul-99,Ammonium
45921,0.56,Kohsoom,24-Jul-99,Ammonium
48287,0.8,Somchair,24-Jul-99,Ammonium
49062,0.4,Busarakhan,24-Jul-99,Ammonium
51073,0.36,Kannika,25-Jul-99,Ammonium
51477,0.42,Kannika,25-Jul-99,Ammonium
52237,0.33,Kannika,25-Jul-99,Ammonium
53818,0.8,Sakda,26-Jul-99,Ammonium
52652,0.45,Sakda,28-Jul-99,Ammonium
53059,0.33,Sakda,28-Jul-99,Ammonium
53855,0.4,Sakda,28-Jul-99,Ammonium
41204,0.15,Boonsri,19-Aug-99,Ammonium
41952,0.18,Boonsri,19-Aug-99,Ammonium
45958,1.59,Kohsoom,28-Aug-99,Ammonium
46377,0.21,Chai,28-Aug-99,Ammonium
47145,0.2,Chai,28-Aug-99,Ammonium
47553,0.21,Chai,28-Aug-99,Ammonium
48325,0.9,Somchair,29-Aug-99,Ammonium
49100,0.29,Busarakhan,30-Aug-99,Ammonium
51112,0.24,Kannika,30-Aug-99,Ammonium
51508,0.17,Kannika,30-Aug-99,Ammonium
52269,0.2,Kannika,30-Aug-99,Ammonium
52691,0.17,Sakda,31-Aug-99,Ammonium
53090,0.18,Sakda,31-Aug-99,Ammonium
53887,0.19,Sakda,31-Aug-99,Ammonium
41235,0.12,Boonsri,16-Sep-99,Ammonium
41982,0.1,Boonsri,16-Sep-99,Ammonium
46409,0.37,Chai,16-Sep-99,Ammonium
47176,0.45,Chai,16-Sep-99,Ammonium
47585,0.34,Chai,16-Sep-99,Ammonium
45988,2.4,Kohsoom,18-Sep-99,Ammonium
48355,0.57,Somchair,18-Sep-99,Ammonium
49130,1.1,Busarakhan,18-Sep-99,Ammonium
51144,0.35,Kannika,19-Sep-99,Ammonium
51539,0.38,Kannika,19-Sep-99,Ammonium
52301,0.42,Kannika,19-Sep-99,Ammonium
52723,0.26,Sakda,21-Sep-99,Ammonium
53121,0.25,Sakda,21-Sep-99,Ammonium
53919,0.44,Sakda,21-Sep-99,Ammonium
41270,0.1,Boonsri,10-Oct-99,Ammonium
42016,0.11,Boonsri,10-Oct-99,Ammonium
46019,1.8,Kohsoom,20-Oct-99,Ammonium
46441,0.19,Chai,21-Oct-99,Ammonium
47207,0.16,Chai,21-Oct-99,Ammonium
47617,0.2,Chai,21-Oct-99,Ammonium
48386,0.32,Somchair,21-Oct-99,Ammonium
49161,0.28,Busarakhan,22-Oct-99,Ammonium
51176,0.23,Kannika,22-Oct-99,Ammonium
51570,0.2,Kannika,22-Oct-99,Ammonium
52333,0.25,Kannika,22-Oct-99,Ammonium
52755,0.21,Sakda,23-Oct-99,Ammonium
53152,0.22,Sakda,23-Oct-99,Ammonium
53951,0.2,Sakda,23-Oct-99,Ammonium
41304,0.19,Boonsri,5-Nov-99,Ammonium
42049,0.12,Boonsri,5-Nov-99,Ammonium
46052,5.5,Kohsoom,7-Nov-99,Ammonium
46473,0.46,Chai,18-Nov-99,Ammonium
47241,0.82,Chai,18-Nov-99,Ammonium
47650,0.84,Chai,18-Nov-99,Ammonium
48419,2.61,Somchair,20-Nov-99,Ammonium
49194,1.38,Busarakhan,20-Nov-99,Ammonium
51211,0.71,Kannika,26-Nov-99,Ammonium
51604,0.92,Kannika,26-Nov-99,Ammonium
52368,0.87,Kannika,26-Nov-99,Ammonium
52790,0.81,Sakda,26-Nov-99,Ammonium
53186,1.07,Sakda,26-Nov-99,Ammonium
53986,0.99,Sakda,26-Nov-99,Ammonium
41336,0.37,Boonsri,9-Dec-99,Ammonium
42080,0.33,Boonsri,9-Dec-99,Ammonium
46508,0.71,Chai,9-Dec-99,Ammonium
47275,0.22,Chai,9-Dec-99,Ammonium
47685,0.16,Chai,9-Dec-99,Ammonium
48453,1.07,Somchair,10-Dec-99,Ammonium
49228,1.26,Busarakhan,10-Dec-99,Ammonium
46082,2.5,Kohsoom,11-Dec-99,Ammonium
52825,0.43,Sakda,15-Dec-99,Ammonium
53220,0.34,Sakda,15-Dec-99,Ammonium
54021,0.61,Sakda,15-Dec-99,Ammonium
51246,0.26,Kannika,16-Dec-99,Ammonium
51638,0.44,Kannika,16-Dec-99,Ammonium
52403,0.36,Kannika,16-Dec-99,Ammonium
97479,0.25,Boonsri,14-Jan-00,Ammonium
98271,0.25,Boonsri,14-Jan-00,Ammonium
104623,0.25,Chai,14-Jan-00,Ammonium
105426,0.33,Chai,14-Jan-00,Ammonium
106218,0.26,Chai,14-Jan-00,Ammonium
107008,1.19,Somchair,15-Jan-00,Ammonium
107815,0.76,Busarakhan,15-Jan-00,Ammonium
103815,2.2,Kohsoom,16-Jan-00,Ammonium
110652,1.83,Kannika,19-Jan-00,Ammonium
111453,2.35,Kannika,19-Jan-00,Ammonium
112250,2.63,Kannika,19-Jan-00,Ammonium
113049,2.93,Sakda,19-Jan-00,Ammonium
113850,0.92,Sakda,19-Jan-00,Ammonium
114645,2.02,Sakda,19-Jan-00,Ammonium
96721,0.41,Boonsri,10-Feb-00,Ammonium
97517,0.29,Boonsri,10-Feb-00,Ammonium
98306,0.41,Boonsri,10-Feb-00,Ammonium
103850,1.8,Kohsoom,12-Feb-00,Ammonium
104660,1.33,Chai,18-Feb-00,Ammonium
105463,1.08,Chai,18-Feb-00,Ammonium
106255,1.01,Chai,18-Feb-00,Ammonium
110689,0.26,Kannika,18-Feb-00,Ammonium
111490,0.33,Kannika,18-Feb-00,Ammonium
112287,0.18,Kannika,18-Feb-00,Ammonium
107045,3.3,Somchair,19-Feb-00,Ammonium
107852,4.54,Busarakhan,19-Feb-00,Ammonium
113086,0.23,Sakda,19-Feb-00,Ammonium
113887,0.39,Sakda,19-Feb-00,Ammonium
114682,0.28,Sakda,19-Feb-00,Ammonium
96759,0.34,Boonsri,10-Mar-00,Ammonium
97555,0.25,Boonsri,10-Mar-00,Ammonium
98344,0.31,Boonsri,10-Mar-00,Ammonium
103888,3.4,Kohsoom,12-Mar-00,Ammonium
104697,0.53,Chai,18-Mar-00,Ammonium
105500,0.44,Chai,18-Mar-00,Ammonium
106292,0.39,Chai,18-Mar-00,Ammonium
107082,1.78,Somchair,19-Mar-00,Ammonium
107889,2.89,Busarakhan,19-Mar-00,Ammonium
113123,0.45,Sakda,23-Mar-00,Ammonium
113924,0.62,Sakda,23-Mar-00,Ammonium
114719,0.4,Sakda,23-Mar-00,Ammonium
110726,0.61,Kannika,24-Mar-00,Ammonium
111527,0.41,Kannika,24-Mar-00,Ammonium
112324,0.51,Kannika,24-Mar-00,Ammonium
96797,0.62,Boonsri,14-Apr-00,Ammonium
97590,0.31,Boonsri,14-Apr-00,Ammonium
98379,0.64,Boonsri,14-Apr-00,Ammonium
103926,2.5,Kohsoom,16-Apr-00,Ammonium
104735,0.09,Chai,28-Apr-00,Ammonium
105538,0.09,Chai,28-Apr-00,Ammonium
106330,0.09,Chai,28-Apr-00,Ammonium
107120,1.12,Somchair,28-Apr-00,Ammonium
107927,0.59,Busarakhan,29-Apr-00,Ammonium
110764,0.09,Kannika,29-Apr-00,Ammonium
111565,0.1,Kannika,29-Apr-00,Ammonium
112362,0.11,Kannika,29-Apr-00,Ammonium
113161,0.08,Sakda,29-Apr-00,Ammonium
113962,0.09,Sakda,29-Apr-00,Ammonium
114757,0.1,Sakda,29-Apr-00,Ammonium
96836,0.4,Boonsri,12-May-00,Ammonium
97629,0.37,Boonsri,12-May-00,Ammonium
98418,0.33,Boonsri,12-May-00,Ammonium
103965,2.9,Kohsoom,14-May-00,Ammonium
104772,0.98,Chai,19-May-00,Ammonium
105576,0.87,Chai,19-May-00,Ammonium
106368,0.73,Chai,19-May-00,Ammonium
107158,1.73,Somchair,20-May-00,Ammonium
113200,1.44,Sakda,26-May-00,Ammonium
114001,0.81,Sakda,26-May-00,Ammonium
114795,0.8,Sakda,26-May-00,Ammonium
107966,1.11,Busarakhan,27-May-00,Ammonium
110802,1.23,Kannika,27-May-00,Ammonium
111603,1.06,Kannika,27-May-00,Ammonium
112399,1.26,Kannika,27-May-00,Ammonium
96873,0.29,Boonsri,9-Jun-00,Ammonium
97665,0.19,Boonsri,9-Jun-00,Ammonium
98454,0.27,Boonsri,9-Jun-00,Ammonium
113238,0.04,Sakda,24-Jun-00,Ammonium
114039,0.04,Sakda,24-Jun-00,Ammonium
114833,0.04,Sakda,24-Jun-00,Ammonium
110840,0.06,Kannika,25-Jun-00,Ammonium
111641,0.06,Kannika,25-Jun-00,Ammonium
112437,0.05,Kannika,25-Jun-00,Ammonium
108004,0.05,Busarakhan,26-Jun-00,Ammonium
107196,0.08,Somchair,27-Jun-00,Ammonium
104810,0.05,Chai,28-Jun-00,Ammonium
105614,0.03,Chai,28-Jun-00,Ammonium
106406,0.03,Chai,28-Jun-00,Ammonium
104003,1.03,Kohsoom,29-Jun-00,Ammonium
96912,0.29,Boonsri,14-Jul-00,Ammonium
97704,0.52,Boonsri,14-Jul-00,Ammonium
98493,0.31,Boonsri,14-Jul-00,Ammonium
104047,1.48,Kohsoom,16-Jul-00,Ammonium
104851,1.24,Chai,21-Jul-00,Ammonium
105652,1.11,Chai,21-Jul-00,Ammonium
106443,0.87,Chai,21-Jul-00,Ammonium
107238,1.44,Somchair,27-Jul-00,Ammonium
108046,1.05,Busarakhan,28-Jul-00,Ammonium
110875,0.3,Kannika,28-Jul-00,Ammonium
111677,0.57,Kannika,28-Jul-00,Ammonium
112478,0.35,Kannika,28-Jul-00,Ammonium
113273,0.8,Sakda,29-Jul-00,Ammonium
114075,0.38,Sakda,29-Jul-00,Ammonium
114874,0.31,Sakda,29-Jul-00,Ammonium
96947,0.24,Boonsri,17-Aug-00,Ammonium
97739,0.28,Boonsri,17-Aug-00,Ammonium
98528,0.26,Boonsri,17-Aug-00,Ammonium
104088,1.4,Kohsoom,25-Aug-00,Ammonium
104893,0.21,Chai,26-Aug-00,Ammonium
105684,0.22,Chai,26-Aug-00,Ammonium
106475,0.2,Chai,26-Aug-00,Ammonium
107278,0.31,Somchair,27-Aug-00,Ammonium
108086,0.16,Busarakhan,28-Aug-00,Ammonium
110916,0.19,Kannika,28-Aug-00,Ammonium
111712,0.19,Kannika,28-Aug-00,Ammonium
112513,0.19,Kannika,28-Aug-00,Ammonium
113314,0.23,Sakda,29-Aug-00,Ammonium
114110,0.22,Sakda,29-Aug-00,Ammonium
114909,0.22,Sakda,29-Aug-00,Ammonium
96981,0.76,Boonsri,8-Sep-00,Ammonium
97774,0.45,Boonsri,8-Sep-00,Ammonium
98562,0.49,Boonsri,8-Sep-00,Ammonium
104124,2.4,Kohsoom,10-Sep-00,Ammonium
113349,0.56,Sakda,21-Sep-00,Ammonium
114144,0.36,Sakda,21-Sep-00,Ammonium
114943,0.3,Sakda,21-Sep-00,Ammonium
104927,0.33,Chai,23-Sep-00,Ammonium
105719,0.25,Chai,23-Sep-00,Ammonium
106510,0.4,Chai,23-Sep-00,Ammonium
110950,0.58,Kannika,23-Sep-00,Ammonium
111747,0.43,Kannika,23-Sep-00,Ammonium
112547,0.4,Kannika,23-Sep-00,Ammonium
107312,1.64,Somchair,24-Sep-00,Ammonium
108122,1.49,Busarakhan,24-Sep-00,Ammonium
97015,0.49,Boonsri,6-Oct-00,Ammonium
97808,0.23,Boonsri,6-Oct-00,Ammonium
98596,0.24,Boonsri,6-Oct-00,Ammonium
104159,2,Kohsoom,15-Oct-00,Ammonium
104962,0.17,Chai,16-Oct-00,Ammonium
105754,0.18,Chai,16-Oct-00,Ammonium
106542,0.18,Chai,16-Oct-00,Ammonium
107347,0.21,Somchair,17-Oct-00,Ammonium
108157,0.2,Busarakhan,18-Oct-00,Ammonium
110984,0.18,Kannika,18-Oct-00,Ammonium
111782,0.19,Kannika,18-Oct-00,Ammonium
112581,0.21,Kannika,18-Oct-00,Ammonium
113383,0.17,Sakda,19-Oct-00,Ammonium
114178,0.15,Sakda,19-Oct-00,Ammonium
114977,0.17,Sakda,19-Oct-00,Ammonium
97050,0.58,Boonsri,10-Nov-00,Ammonium
97843,0.33,Boonsri,10-Nov-00,Ammonium
98631,0.6,Boonsri,10-Nov-00,Ammonium
104193,1.9,Kohsoom,12-Nov-00,Ammonium
104997,0.42,Chai,18-Nov-00,Ammonium
105789,0.25,Chai,18-Nov-00,Ammonium
106576,0.25,Chai,18-Nov-00,Ammonium
107382,0.58,Somchair,23-Nov-00,Ammonium
113418,0.22,Sakda,23-Nov-00,Ammonium
114213,0.31,Sakda,23-Nov-00,Ammonium
115012,0.39,Sakda,23-Nov-00,Ammonium
108191,0.42,Busarakhan,24-Nov-00,Ammonium
111020,0.23,Kannika,25-Nov-00,Ammonium
111817,0.25,Kannika,25-Nov-00,Ammonium
112616,0.29,Kannika,25-Nov-00,Ammonium
105031,0.3,Chai,3-Dec-00,Ammonium
105823,0.25,Chai,3-Dec-00,Ammonium
106609,0.36,Chai,3-Dec-00,Ammonium
107416,0.48,Somchair,4-Dec-00,Ammonium
108224,0.49,Busarakhan,4-Dec-00,Ammonium
97084,0.62,Boonsri,8-Dec-00,Ammonium
97876,0.53,Boonsri,8-Dec-00,Ammonium
98664,0.56,Boonsri,8-Dec-00,Ammonium
104227,0.58,Kohsoom,10-Dec-00,Ammonium
111054,0.38,Kannika,30-Dec-00,Ammonium
111851,0.53,Kannika,30-Dec-00,Ammonium
112650,0.35,Kannika,30-Dec-00,Ammonium
113452,0.89,Sakda,30-Dec-00,Ammonium
114247,0.18,Sakda,30-Dec-00,Ammonium
115046,0.16,Sakda,30-Dec-00,Ammonium
166031,0.55,Chai,16-Jan-01,Ammonium
166750,0.45,Chai,16-Jan-01,Ammonium
167466,0.46,Chai,16-Jan-01,Ammonium
168182,0.53,Somchair,17-Jan-01,Ammonium
168889,0.39,Busarakhan,17-Jan-01,Ammonium
158798,0.48,Boonsri,20-Jan-01,Ammonium
159484,0.3,Boonsri,20-Jan-01,Ammonium
160167,0.34,Boonsri,20-Jan-01,Ammonium
173707,0.3,Sakda,25-Jan-01,Ammonium
174453,0.47,Sakda,25-Jan-01,Ammonium
175199,0.39,Sakda,25-Jan-01,Ammonium
171478,0.52,Kannika,27-Jan-01,Ammonium
172222,0.5,Kannika,27-Jan-01,Ammonium
172965,0.61,Kannika,27-Jan-01,Ammonium
165278,2.6,Kohsoom,28-Jan-01,Ammonium
166065,0.35,Chai,17-Feb-01,Ammonium
166784,0.32,Chai,17-Feb-01,Ammonium
167500,0.28,Chai,17-Feb-01,Ammonium
165314,1.4,Kohsoom,18-Feb-01,Ammonium
168214,0.41,Somchair,18-Feb-01,Ammonium
168922,0.69,Busarakhan,18-Feb-01,Ammonium
173742,0.49,Sakda,22-Feb-01,Ammonium
174488,0.49,Sakda,22-Feb-01,Ammonium
175234,0.51,Sakda,22-Feb-01,Ammonium
171513,0.42,Kannika,24-Feb-01,Ammonium
172257,0.34,Kannika,24-Feb-01,Ammonium
173000,0.34,Kannika,24-Feb-01,Ammonium
158822,0.35,Boonsri,10-Mar-01,Ammonium
159508,0.25,Boonsri,10-Mar-01,Ammonium
160191,0.15,Boonsri,10-Mar-01,Ammonium
165350,0.95,Kohsoom,18-Mar-01,Ammonium
173779,0.11,Sakda,22-Mar-01,Ammonium
174525,0.25,Sakda,22-Mar-01,Ammonium
175271,0.21,Sakda,22-Mar-01,Ammonium
171550,0.3,Kannika,25-Mar-01,Ammonium
172294,0.3,Kannika,25-Mar-01,Ammonium
173037,0.3,Kannika,25-Mar-01,Ammonium
166102,0.51,Chai,31-Mar-01,Ammonium
166821,0.39,Chai,31-Mar-01,Ammonium
167537,0.36,Chai,31-Mar-01,Ammonium
168251,0.66,Somchair,31-Mar-01,Ammonium
168959,0.24,Busarakhan,31-Mar-01,Ammonium
158846,0.24,Boonsri,19-Apr-01,Ammonium
159532,0.2,Boonsri,19-Apr-01,Ammonium
160215,0.19,Boonsri,19-Apr-01,Ammonium
165384,1.94,Kohsoom,27-Apr-01,Ammonium
166139,0.16,Chai,27-Apr-01,Ammonium
166858,0.18,Chai,27-Apr-01,Ammonium
167574,0.16,Chai,27-Apr-01,Ammonium
168288,0.23,Somchair,29-Apr-01,Ammonium
168996,0.31,Busarakhan,29-Apr-01,Ammonium
171587,0.35,Kannika,29-Apr-01,Ammonium
172331,0.25,Kannika,29-Apr-01,Ammonium
173074,0.36,Kannika,29-Apr-01,Ammonium
173816,0.41,Sakda,30-Apr-01,Ammonium
174562,0.27,Sakda,30-Apr-01,Ammonium
175308,0.27,Sakda,30-Apr-01,Ammonium
158880,0.23,Boonsri,4-May-01,Ammonium
159565,0.2,Boonsri,4-May-01,Ammonium
160248,0.25,Boonsri,4-May-01,Ammonium
165419,1.66,Kohsoom,13-May-01,Ammonium
