id,Total nitrogen value,location,sample date,measure
615803,1.4,Kannika,12-Aug-05,Total nitrogen
616740,1.93,Sakda,12-Aug-05,Total nitrogen
617721,1.89,Sakda,12-Aug-05,Total nitrogen
618688,1.59,Sakda,12-Aug-05,Total nitrogen
607902,2.14,Somchair,14-Aug-05,Total nitrogen
608851,2.83,Busarakhan,14-Aug-05,Total nitrogen
603891,2.34,Chai,18-Aug-05,Total nitrogen
605338,2.15,Chai,18-Aug-05,Total nitrogen
606778,1.99,Chai,18-Aug-05,Total nitrogen
603943,1.67,Chai,25-Aug-05,Total nitrogen
605397,1.96,Chai,25-Aug-05,Total nitrogen
606829,2.27,Chai,25-Aug-05,Total nitrogen
604033,2.7,Chai,29-Sep-05,Total nitrogen
605503,2.75,Chai,29-Sep-05,Total nitrogen
606918,1.89,Chai,29-Sep-05,Total nitrogen
604080,2.35,Chai,10-Oct-05,Total nitrogen
605557,2.13,Chai,10-Oct-05,Total nitrogen
606964,2,Chai,10-Oct-05,Total nitrogen
613962,1.71,Kannika,14-Oct-05,Total nitrogen
614961,1.67,Kannika,14-Oct-05,Total nitrogen
615908,1.63,Kannika,14-Oct-05,Total nitrogen
616846,2.35,Sakda,14-Oct-05,Total nitrogen
617842,2.55,Sakda,14-Oct-05,Total nitrogen
618793,2.41,Sakda,14-Oct-05,Total nitrogen
604123,1.88,Chai,20-Oct-05,Total nitrogen
605612,1.89,Chai,20-Oct-05,Total nitrogen
607010,1.85,Chai,20-Oct-05,Total nitrogen
608005,2.57,Somchair,23-Oct-05,Total nitrogen
614008,2.85,Kannika,11-Nov-05,Total nitrogen
615013,1.53,Kannika,11-Nov-05,Total nitrogen
615955,1.64,Kannika,11-Nov-05,Total nitrogen
616892,0.603,Sakda,11-Nov-05,Total nitrogen
617896,1.82,Sakda,11-Nov-05,Total nitrogen
618838,1.06,Sakda,11-Nov-05,Total nitrogen
604162,2.56,Chai,19-Nov-05,Total nitrogen
605656,2.47,Chai,19-Nov-05,Total nitrogen
607044,2.54,Chai,19-Nov-05,Total nitrogen
608056,2.48,Somchair,24-Nov-05,Total nitrogen
609002,2.73,Busarakhan,24-Nov-05,Total nitrogen
604207,2.27,Chai,26-Nov-05,Total nitrogen
605708,2.61,Chai,26-Nov-05,Total nitrogen
607086,2.15,Chai,26-Nov-05,Total nitrogen
604280,3.04,Chai,16-Dec-05,Total nitrogen
605798,2.93,Chai,16-Dec-05,Total nitrogen
607157,3.2,Chai,16-Dec-05,Total nitrogen
707017,2.61,Kannika,13-Jan-06,Total nitrogen
707961,2.53,Kannika,13-Jan-06,Total nitrogen
708990,2.71,Kannika,13-Jan-06,Total nitrogen
709951,2.84,Sakda,13-Jan-06,Total nitrogen
710896,2.98,Sakda,13-Jan-06,Total nitrogen
711901,2.94,Sakda,13-Jan-06,Total nitrogen
696824,2.64,Chai,19-Jan-06,Total nitrogen
698191,2.86,Chai,19-Jan-06,Total nitrogen
699697,3.06,Chai,19-Jan-06,Total nitrogen
696864,3.02,Chai,28-Jan-06,Total nitrogen
698238,3.06,Chai,28-Jan-06,Total nitrogen
699737,2.95,Chai,28-Jan-06,Total nitrogen
702021,2.92,Busarakhan,28-Jan-06,Total nitrogen
701063,3.19,Somchair,29-Jan-06,Total nitrogen
707059,3.91,Kannika,10-Feb-06,Total nitrogen
708009,3.27,Kannika,10-Feb-06,Total nitrogen
709031,3.57,Kannika,10-Feb-06,Total nitrogen
709992,3.06,Sakda,10-Feb-06,Total nitrogen
710946,3.06,Sakda,10-Feb-06,Total nitrogen
711944,3.36,Sakda,10-Feb-06,Total nitrogen
696900,3.68,Chai,24-Feb-06,Total nitrogen
698284,3.84,Chai,24-Feb-06,Total nitrogen
699773,3.7,Chai,24-Feb-06,Total nitrogen
701104,4.11,Somchair,25-Feb-06,Total nitrogen
702065,3.65,Busarakhan,25-Feb-06,Total nitrogen
695911,9.64,Kohsoom,26-Feb-06,Total nitrogen
696943,3.47,Chai,28-Feb-06,Total nitrogen
698324,3.7,Chai,28-Feb-06,Total nitrogen
699812,3.57,Chai,28-Feb-06,Total nitrogen
697024,4.66,Chai,29-Mar-06,Total nitrogen
698401,2.97,Chai,29-Mar-06,Total nitrogen
699890,3,Chai,29-Mar-06,Total nitrogen
697097,1.94,Chai,30-Apr-06,Total nitrogen
698490,2.29,Chai,30-Apr-06,Total nitrogen
699964,2.22,Chai,30-Apr-06,Total nitrogen
707191,1.96,Kannika,11-May-06,Total nitrogen
708150,2.36,Kannika,11-May-06,Total nitrogen
709169,2.28,Kannika,11-May-06,Total nitrogen
710126,1.58,Sakda,11-May-06,Total nitrogen
711074,1.96,Sakda,11-May-06,Total nitrogen
712070,1.29,Sakda,11-May-06,Total nitrogen
697136,0.66,Chai,25-May-06,Total nitrogen
698535,0.696,Chai,25-May-06,Total nitrogen
700005,1.13,Chai,25-May-06,Total nitrogen
697160,1.33,Chai,28-May-06,Total nitrogen
698558,1.08,Chai,28-May-06,Total nitrogen
700029,0.967,Chai,28-May-06,Total nitrogen
701238,2.42,Somchair,31-May-06,Total nitrogen
702199,1.94,Busarakhan,31-May-06,Total nitrogen
697175,2.69,Chai,1-Jun-06,Total nitrogen
698573,2.11,Chai,1-Jun-06,Total nitrogen
700044,1.97,Chai,1-Jun-06,Total nitrogen
697270,1.4,Chai,9-Jul-06,Total nitrogen
698683,1.85,Chai,9-Jul-06,Total nitrogen
700140,0.932,Chai,9-Jul-06,Total nitrogen
707280,2.32,Kannika,11-Jul-06,Total nitrogen
708267,2.92,Kannika,11-Jul-06,Total nitrogen
709270,2.56,Kannika,11-Jul-06,Total nitrogen
710214,2.37,Sakda,13-Jul-06,Total nitrogen
711176,1.6,Sakda,13-Jul-06,Total nitrogen
712169,1.38,Sakda,13-Jul-06,Total nitrogen
697321,2.08,Chai,15-Jul-06,Total nitrogen
698741,2.18,Chai,15-Jul-06,Total nitrogen
700191,2.05,Chai,15-Jul-06,Total nitrogen
701341,3.37,Somchair,16-Jul-06,Total nitrogen
702289,1.9,Busarakhan,16-Jul-06,Total nitrogen
707333,2.02,Kannika,10-Aug-06,Total nitrogen
708327,1.73,Kannika,10-Aug-06,Total nitrogen
709323,1.95,Kannika,10-Aug-06,Total nitrogen
710268,1.55,Sakda,10-Aug-06,Total nitrogen
711237,1.43,Sakda,10-Aug-06,Total nitrogen
712223,2.23,Sakda,10-Aug-06,Total nitrogen
697418,1.39,Chai,27-Aug-06,Total nitrogen
698854,1.45,Chai,27-Aug-06,Total nitrogen
700288,1.28,Chai,27-Aug-06,Total nitrogen
697513,1.28,Chai,29-Sep-06,Total nitrogen
698964,0.57,Chai,29-Sep-06,Total nitrogen
700384,0.73,Chai,29-Sep-06,Total nitrogen
697609,2.58,Chai,15-Oct-06,Total nitrogen
699075,2.37,Chai,15-Oct-06,Total nitrogen
700480,2.38,Chai,15-Oct-06,Total nitrogen
697686,2.93,Chai,25-Nov-06,Total nitrogen
699167,3.6,Chai,25-Nov-06,Total nitrogen
700557,4.07,Chai,25-Nov-06,Total nitrogen
707542,3.03,Kannika,7-Dec-06,Total nitrogen
708563,2.67,Kannika,7-Dec-06,Total nitrogen
709532,2.95,Kannika,7-Dec-06,Total nitrogen
710477,3.28,Sakda,7-Dec-06,Total nitrogen
711474,2.98,Sakda,7-Dec-06,Total nitrogen
712432,2.72,Sakda,7-Dec-06,Total nitrogen
697731,2.54,Chai,10-Dec-06,Total nitrogen
699220,2.8,Chai,10-Dec-06,Total nitrogen
700602,2.75,Chai,10-Dec-06,Total nitrogen
701602,2.95,Somchair,13-Dec-06,Total nitrogen
702550,3.9,Busarakhan,13-Dec-06,Total nitrogen
697780,2.91,Chai,20-Dec-06,Total nitrogen
699278,3.2,Chai,20-Dec-06,Total nitrogen
700652,3.42,Chai,20-Dec-06,Total nitrogen
812936,2.58,Kannika,11-Jan-07,Total nitrogen
814000,2.77,Kannika,11-Jan-07,Total nitrogen
815158,2.94,Kannika,11-Jan-07,Total nitrogen
816223,2.66,Sakda,11-Jan-07,Total nitrogen
817289,2.58,Sakda,11-Jan-07,Total nitrogen
818450,2.52,Sakda,11-Jan-07,Total nitrogen
801301,2.6,Chai,18-Jan-07,Total nitrogen
802791,2.56,Chai,18-Jan-07,Total nitrogen
804493,2.65,Chai,18-Jan-07,Total nitrogen
805974,2.72,Somchair,24-Jan-07,Total nitrogen
807129,3.04,Busarakhan,24-Jan-07,Total nitrogen
801354,3.97,Chai,27-Jan-07,Total nitrogen
802854,3.13,Chai,27-Jan-07,Total nitrogen
804547,2.78,Chai,27-Jan-07,Total nitrogen
812993,2.89,Kannika,8-Feb-07,Total nitrogen
814065,3.35,Kannika,8-Feb-07,Total nitrogen
815215,2.82,Kannika,8-Feb-07,Total nitrogen
816280,2.43,Sakda,15-Feb-07,Total nitrogen
817353,2.36,Sakda,15-Feb-07,Total nitrogen
818508,2.52,Sakda,15-Feb-07,Total nitrogen
801401,3.8,Chai,16-Feb-07,Total nitrogen
802907,3.79,Chai,16-Feb-07,Total nitrogen
804593,3.64,Chai,16-Feb-07,Total nitrogen
806033,2.7,Somchair,22-Feb-07,Total nitrogen
807189,2.63,Busarakhan,22-Feb-07,Total nitrogen
801458,2.97,Chai,28-Feb-07,Total nitrogen
802972,3.07,Chai,28-Feb-07,Total nitrogen
804650,3.04,Chai,28-Feb-07,Total nitrogen
813054,2.43,Kannika,15-Mar-07,Total nitrogen
814134,2.24,Kannika,15-Mar-07,Total nitrogen
815276,2.47,Kannika,15-Mar-07,Total nitrogen
816340,2.4,Sakda,15-Mar-07,Total nitrogen
817421,2.62,Sakda,15-Mar-07,Total nitrogen
818568,2.65,Sakda,15-Mar-07,Total nitrogen
801486,3.09,Chai,23-Mar-07,Total nitrogen
803009,3.22,Chai,23-Mar-07,Total nitrogen
804678,3.18,Chai,23-Mar-07,Total nitrogen
806103,2.95,Somchair,28-Mar-07,Total nitrogen
807258,3.7,Busarakhan,28-Mar-07,Total nitrogen
801591,2.87,Chai,12-Apr-07,Total nitrogen
803131,2.84,Chai,12-Apr-07,Total nitrogen
804761,2.88,Chai,12-Apr-07,Total nitrogen
813113,2.41,Kannika,12-Apr-07,Total nitrogen
814201,2.34,Kannika,12-Apr-07,Total nitrogen
815335,2.58,Kannika,12-Apr-07,Total nitrogen
816399,2.55,Sakda,12-Apr-07,Total nitrogen
817488,2.41,Sakda,12-Apr-07,Total nitrogen
818627,2.4,Sakda,12-Apr-07,Total nitrogen
806173,4.17,Somchair,20-Apr-07,Total nitrogen
807328,2.35,Busarakhan,20-Apr-07,Total nitrogen
801649,3.68,Chai,25-Apr-07,Total nitrogen
803197,3.89,Chai,25-Apr-07,Total nitrogen
804819,4.11,Chai,25-Apr-07,Total nitrogen
813174,1.38,Kannika,10-May-07,Total nitrogen
814268,1.48,Kannika,10-May-07,Total nitrogen
815396,1.26,Kannika,10-May-07,Total nitrogen
816460,1.23,Sakda,10-May-07,Total nitrogen
817557,1.31,Sakda,10-May-07,Total nitrogen
818688,1.25,Sakda,10-May-07,Total nitrogen
801699,2.11,Chai,18-May-07,Total nitrogen
803256,2.27,Chai,18-May-07,Total nitrogen
804869,2.7,Chai,18-May-07,Total nitrogen
806243,2.48,Somchair,26-May-07,Total nitrogen
807398,1.89,Busarakhan,26-May-07,Total nitrogen
801735,2.09,Chai,31-May-07,Total nitrogen
803301,2.58,Chai,31-May-07,Total nitrogen
804897,2.55,Chai,31-May-07,Total nitrogen
816521,1.75,Sakda,7-Jun-07,Total nitrogen
817627,1.87,Sakda,7-Jun-07,Total nitrogen
818749,1.36,Sakda,7-Jun-07,Total nitrogen
813235,1.53,Kannika,9-Jun-07,Total nitrogen
814336,1.03,Kannika,9-Jun-07,Total nitrogen
815459,0.82,Kannika,9-Jun-07,Total nitrogen
801766,1.09,Chai,21-Jun-07,Total nitrogen
803354,1.29,Chai,21-Jun-07,Total nitrogen
804941,1.33,Chai,21-Jun-07,Total nitrogen
806307,2.31,Somchair,23-Jun-07,Total nitrogen
807463,2,Busarakhan,23-Jun-07,Total nitrogen
801821,1.9,Chai,28-Jun-07,Total nitrogen
803417,1.6,Chai,28-Jun-07,Total nitrogen
804996,1.76,Chai,28-Jun-07,Total nitrogen
801848,2.43,Chai,7-Jul-07,Total nitrogen
803453,2.63,Chai,7-Jul-07,Total nitrogen
805022,2.76,Chai,7-Jul-07,Total nitrogen
813293,0.935,Kannika,7-Jul-07,Total nitrogen
814403,0.745,Kannika,7-Jul-07,Total nitrogen
815516,0.805,Kannika,7-Jul-07,Total nitrogen
816579,0.695,Sakda,7-Jul-07,Total nitrogen
817692,0.663,Sakda,7-Jul-07,Total nitrogen
818806,0.792,Sakda,7-Jul-07,Total nitrogen
801899,1.45,Chai,19-Jul-07,Total nitrogen
803513,1.82,Chai,19-Jul-07,Total nitrogen
805073,2.27,Chai,19-Jul-07,Total nitrogen
806371,2.12,Somchair,22-Jul-07,Total nitrogen
807527,1.06,Busarakhan,22-Jul-07,Total nitrogen
801944,1.47,Chai,4-Aug-07,Total nitrogen
803567,1.58,Chai,4-Aug-07,Total nitrogen
805118,1.6,Chai,4-Aug-07,Total nitrogen
813349,3.21,Kannika,11-Aug-07,Total nitrogen
814468,3.52,Kannika,11-Aug-07,Total nitrogen
815572,3.86,Kannika,11-Aug-07,Total nitrogen
816635,2.41,Sakda,11-Aug-07,Total nitrogen
817757,3.09,Sakda,11-Aug-07,Total nitrogen
818862,3.82,Sakda,11-Aug-07,Total nitrogen
806436,5.78,Somchair,25-Aug-07,Total nitrogen
807592,4.82,Busarakhan,25-Aug-07,Total nitrogen
816690,3.21,Sakda,6-Sep-07,Total nitrogen
817821,3.6,Sakda,6-Sep-07,Total nitrogen
818917,3.86,Sakda,6-Sep-07,Total nitrogen
802026,4.26,Chai,12-Sep-07,Total nitrogen
803667,4.75,Chai,12-Sep-07,Total nitrogen
805200,4.92,Chai,12-Sep-07,Total nitrogen
802082,3.82,Chai,21-Sep-07,Total nitrogen
803731,3.79,Chai,21-Sep-07,Total nitrogen
805256,4.03,Chai,21-Sep-07,Total nitrogen
806499,1.98,Somchair,29-Sep-07,Total nitrogen
807653,2.19,Busarakhan,29-Sep-07,Total nitrogen
813403,3.38,Kannika,30-Sep-07,Total nitrogen
814531,4.07,Kannika,30-Sep-07,Total nitrogen
815626,3.75,Kannika,30-Sep-07,Total nitrogen
802126,2.65,Chai,7-Oct-07,Total nitrogen
803784,1.91,Chai,7-Oct-07,Total nitrogen
805300,1.86,Chai,7-Oct-07,Total nitrogen
813462,2.08,Kannika,13-Oct-07,Total nitrogen
814598,1.96,Kannika,13-Oct-07,Total nitrogen
815685,2.17,Kannika,13-Oct-07,Total nitrogen
816748,1.41,Sakda,13-Oct-07,Total nitrogen
817887,1.68,Sakda,13-Oct-07,Total nitrogen
818975,2.088,Sakda,13-Oct-07,Total nitrogen
806567,2.78,Somchair,26-Oct-07,Total nitrogen
807721,2.42,Busarakhan,26-Oct-07,Total nitrogen
802177,3.66,Chai,28-Oct-07,Total nitrogen
803844,3.41,Chai,28-Oct-07,Total nitrogen
805351,3.29,Chai,28-Oct-07,Total nitrogen
816805,2.41,Sakda,10-Nov-07,Total nitrogen
817952,2.65,Sakda,10-Nov-07,Total nitrogen
819032,2.49,Sakda,10-Nov-07,Total nitrogen
813518,2.38,Kannika,21-Nov-07,Total nitrogen
814662,2.33,Kannika,21-Nov-07,Total nitrogen
815742,2.55,Kannika,21-Nov-07,Total nitrogen
802222,3.66,Chai,23-Nov-07,Total nitrogen
803898,3.6,Chai,23-Nov-07,Total nitrogen
805396,4.92,Chai,23-Nov-07,Total nitrogen
806631,4.11,Somchair,28-Nov-07,Total nitrogen
807785,4.05,Busarakhan,28-Nov-07,Total nitrogen
802278,2.53,Chai,30-Nov-07,Total nitrogen
803954,2.9,Chai,30-Nov-07,Total nitrogen
805459,2.68,Chai,30-Nov-07,Total nitrogen
816864,1.48,Sakda,8-Dec-07,Total nitrogen
818019,1.45,Sakda,8-Dec-07,Total nitrogen
819091,1.15,Sakda,8-Dec-07,Total nitrogen
813575,1.34,Kannika,13-Dec-07,Total nitrogen
814727,1.25,Kannika,13-Dec-07,Total nitrogen
815799,1.38,Kannika,13-Dec-07,Total nitrogen
802325,2.16,Chai,20-Dec-07,Total nitrogen
804010,2.51,Chai,20-Dec-07,Total nitrogen
805507,2.3,Chai,20-Dec-07,Total nitrogen
806697,5.71,Somchair,22-Dec-07,Total nitrogen
807851,4.92,Busarakhan,22-Dec-07,Total nitrogen
802379,3.65,Chai,28-Dec-07,Total nitrogen
804074,3.24,Chai,28-Dec-07,Total nitrogen
805562,3.13,Chai,28-Dec-07,Total nitrogen
910476,2.55,Kannika,10-Jan-08,Total nitrogen
911379,2.52,Kannika,10-Jan-08,Total nitrogen
912296,2.13,Kannika,10-Jan-08,Total nitrogen
913202,1.34,Sakda,12-Jan-08,Total nitrogen
914157,2.47,Sakda,12-Jan-08,Total nitrogen
915122,3.1,Sakda,12-Jan-08,Total nitrogen
902188,3.02,Chai,18-Jan-08,Total nitrogen
903313,3.08,Chai,18-Jan-08,Total nitrogen
904447,3.04,Chai,18-Jan-08,Total nitrogen
905563,3.88,Somchair,3-Feb-08,Total nitrogen
906152,3.55,Busarakhan,3-Feb-08,Total nitrogen
902237,2.67,Chai,15-Feb-08,Total nitrogen
903362,2.77,Chai,15-Feb-08,Total nitrogen
904496,2.99,Chai,15-Feb-08,Total nitrogen
913252,2.12,Sakda,23-Feb-08,Total nitrogen
914207,2.16,Sakda,23-Feb-08,Total nitrogen
915172,2.21,Sakda,23-Feb-08,Total nitrogen
902284,2.95,Chai,24-Feb-08,Total nitrogen
903409,3.36,Chai,24-Feb-08,Total nitrogen
904543,3.4,Chai,24-Feb-08,Total nitrogen
910529,3.9,Kannika,2-Mar-08,Total nitrogen
911432,4.06,Kannika,2-Mar-08,Total nitrogen
912349,3.99,Kannika,2-Mar-08,Total nitrogen
913302,3.38,Sakda,14-Mar-08,Total nitrogen
914257,3.43,Sakda,14-Mar-08,Total nitrogen
915222,3.37,Sakda,14-Mar-08,Total nitrogen
902311,3.39,Chai,17-Mar-08,Total nitrogen
903436,3.56,Chai,17-Mar-08,Total nitrogen
904570,3.42,Chai,17-Mar-08,Total nitrogen
902346,2.41,Chai,29-Mar-08,Total nitrogen
903471,2.3,Chai,29-Mar-08,Total nitrogen
904605,2.43,Chai,29-Mar-08,Total nitrogen
905607,3.06,Somchair,30-Mar-08,Total nitrogen
906197,2.7,Busarakhan,30-Mar-08,Total nitrogen
913340,3.26,Sakda,11-Apr-08,Total nitrogen
914295,3.14,Sakda,11-Apr-08,Total nitrogen
915260,3.7,Sakda,11-Apr-08,Total nitrogen
910568,3.1,Kannika,14-Apr-08,Total nitrogen
911471,2.88,Kannika,14-Apr-08,Total nitrogen
912388,3.15,Kannika,14-Apr-08,Total nitrogen
902371,2.31,Chai,28-Apr-08,Total nitrogen
903496,2.77,Chai,28-Apr-08,Total nitrogen
904630,2.71,Chai,28-Apr-08,Total nitrogen
905642,2.59,Somchair,3-May-08,Total nitrogen
906232,2.01,Busarakhan,3-May-08,Total nitrogen
910621,1.39,Kannika,9-May-08,Total nitrogen
911524,1.55,Kannika,9-May-08,Total nitrogen
912441,1.12,Kannika,9-May-08,Total nitrogen
913393,1.37,Sakda,9-May-08,Total nitrogen
914348,1.6,Sakda,9-May-08,Total nitrogen
915313,1.25,Sakda,9-May-08,Total nitrogen
902422,1.26,Chai,18-May-08,Total nitrogen
903547,1.14,Chai,18-May-08,Total nitrogen
904681,1.05,Chai,18-May-08,Total nitrogen
905695,2.88,Somchair,30-May-08,Total nitrogen
906285,1.77,Busarakhan,30-May-08,Total nitrogen
902446,1.14,Chai,31-May-08,Total nitrogen
903571,1.33,Chai,31-May-08,Total nitrogen
904705,1.08,Chai,31-May-08,Total nitrogen
902493,2.59,Chai,2-Jun-08,Total nitrogen
903618,1.87,Chai,2-Jun-08,Total nitrogen
904752,2.09,Chai,2-Jun-08,Total nitrogen
902514,2.12,Chai,12-Jun-08,Total nitrogen
903639,2.33,Chai,12-Jun-08,Total nitrogen
904773,2.05,Chai,12-Jun-08,Total nitrogen
913450,1.71,Sakda,13-Jun-08,Total nitrogen
914405,1.81,Sakda,13-Jun-08,Total nitrogen
915370,1.72,Sakda,13-Jun-08,Total nitrogen
910678,1.47,Kannika,15-Jun-08,Total nitrogen
911581,1.42,Kannika,15-Jun-08,Total nitrogen
912498,1.17,Kannika,15-Jun-08,Total nitrogen
905752,2.08,Somchair,26-Jun-08,Total nitrogen
906342,1.94,Busarakhan,26-Jun-08,Total nitrogen
902577,2.51,Chai,7-Jul-08,Total nitrogen
903713,3.16,Chai,7-Jul-08,Total nitrogen
904835,2.51,Chai,7-Jul-08,Total nitrogen
913495,1.18,Sakda,11-Jul-08,Total nitrogen
914460,1.24,Sakda,11-Jul-08,Total nitrogen
915414,1.28,Sakda,11-Jul-08,Total nitrogen
905807,2.23,Somchair,12-Jul-08,Total nitrogen
906398,1.89,Busarakhan,12-Jul-08,Total nitrogen
910717,2.09,Kannika,12-Jul-08,Total nitrogen
911634,1.64,Kannika,12-Jul-08,Total nitrogen
912540,1.38,Kannika,12-Jul-08,Total nitrogen
902614,1.9,Chai,14-Jul-08,Total nitrogen
903750,1.88,Chai,14-Jul-08,Total nitrogen
904872,2.01,Chai,14-Jul-08,Total nitrogen
910757,1.98,Kannika,8-Aug-08,Total nitrogen
911674,1.27,Kannika,8-Aug-08,Total nitrogen
912580,1.13,Kannika,8-Aug-08,Total nitrogen
913535,1.4,Sakda,8-Aug-08,Total nitrogen
914500,1.14,Sakda,8-Aug-08,Total nitrogen
915454,1.68,Sakda,8-Aug-08,Total nitrogen
905848,2.17,Somchair,11-Aug-08,Total nitrogen
906438,2.6,Busarakhan,11-Aug-08,Total nitrogen
902635,1.12,Chai,23-Aug-08,Total nitrogen
903771,0.876,Chai,23-Aug-08,Total nitrogen
904893,0.89,Chai,23-Aug-08,Total nitrogen
902673,2.02,Chai,31-Aug-08,Total nitrogen
903809,1.09,Chai,31-Aug-08,Total nitrogen
904931,2.29,Chai,31-Aug-08,Total nitrogen
913575,1.29,Sakda,6-Sep-08,Total nitrogen
914540,1.32,Sakda,6-Sep-08,Total nitrogen
915494,1.28,Sakda,6-Sep-08,Total nitrogen
910797,1.32,Kannika,7-Sep-08,Total nitrogen
911714,1.35,Kannika,7-Sep-08,Total nitrogen
912620,1.32,Kannika,7-Sep-08,Total nitrogen
902694,1.63,Chai,11-Sep-08,Total nitrogen
903830,1.49,Chai,11-Sep-08,Total nitrogen
904952,1.39,Chai,11-Sep-08,Total nitrogen
905889,2.23,Somchair,21-Sep-08,Total nitrogen
906479,1.88,Busarakhan,21-Sep-08,Total nitrogen
902744,1.58,Chai,25-Sep-08,Total nitrogen
903880,1.95,Chai,25-Sep-08,Total nitrogen
905002,1.44,Chai,25-Sep-08,Total nitrogen
910850,1.19,Kannika,12-Oct-08,Total nitrogen
911767,1.27,Kannika,12-Oct-08,Total nitrogen
912673,1.19,Kannika,12-Oct-08,Total nitrogen
913628,1.31,Sakda,12-Oct-08,Total nitrogen
914593,1.17,Sakda,12-Oct-08,Total nitrogen
915547,1.26,Sakda,12-Oct-08,Total nitrogen
902767,2.16,Chai,17-Oct-08,Total nitrogen
903903,2.26,Chai,17-Oct-08,Total nitrogen
905025,2.23,Chai,17-Oct-08,Total nitrogen
905943,1.89,Somchair,19-Oct-08,Total nitrogen
906534,1.92,Busarakhan,19-Oct-08,Total nitrogen
902818,1.63,Chai,30-Oct-08,Total nitrogen
903954,1.9,Chai,30-Oct-08,Total nitrogen
905076,1.79,Chai,30-Oct-08,Total nitrogen
910904,1.5,Kannika,7-Nov-08,Total nitrogen
911821,1.51,Kannika,7-Nov-08,Total nitrogen
912727,1.52,Kannika,7-Nov-08,Total nitrogen
913682,1.46,Sakda,7-Nov-08,Total nitrogen
914647,1.43,Sakda,7-Nov-08,Total nitrogen
915601,1.46,Sakda,7-Nov-08,Total nitrogen
902838,1.87,Chai,15-Nov-08,Total nitrogen
905096,1.55,Chai,15-Nov-08,Total nitrogen
905996,1.29,Somchair,17-Nov-08,Total nitrogen
906587,1.36,Busarakhan,17-Nov-08,Total nitrogen
902890,1.13,Chai,21-Nov-08,Total nitrogen
904025,1.12,Chai,21-Nov-08,Total nitrogen
905148,1.19,Chai,21-Nov-08,Total nitrogen
906051,1.49,Somchair,5-Dec-08,Total nitrogen
906642,1.23,Busarakhan,5-Dec-08,Total nitrogen
902907,1.27,Chai,12-Dec-08,Total nitrogen
904042,0.8823,Chai,12-Dec-08,Total nitrogen
905165,0.8863,Chai,12-Dec-08,Total nitrogen
910959,1.44,Kannika,12-Dec-08,Total nitrogen
911876,1.46,Kannika,12-Dec-08,Total nitrogen
912782,1.45,Kannika,12-Dec-08,Total nitrogen
913737,1.17,Sakda,12-Dec-08,Total nitrogen
914702,1.23,Sakda,12-Dec-08,Total nitrogen
915656,1.32,Sakda,12-Dec-08,Total nitrogen
906097,1.47,Somchair,15-Dec-08,Total nitrogen
906691,1.07,Busarakhan,15-Dec-08,Total nitrogen
1020264,1.86,Kannika,9-Jan-09,Total nitrogen
1021359,1.63,Kannika,9-Jan-09,Total nitrogen
1022515,1.8,Kannika,9-Jan-09,Total nitrogen
1023672,1.5,Sakda,9-Jan-09,Total nitrogen
1024793,1.5,Sakda,9-Jan-09,Total nitrogen
1025914,1.47,Sakda,9-Jan-09,Total nitrogen
1005496,1.51,Chai,11-Jan-09,Total nitrogen
1006884,1.51,Chai,11-Jan-09,Total nitrogen
1008246,1.5,Chai,11-Jan-09,Total nitrogen
