id,Water temperature value,location,sample date,measure
6249,26.5,Chai,23-Jul-98,Water temperature
8534,22,Kannika,26-Jul-98,Water temperature
9015,22,Kannika,26-Jul-98,Water temperature
9498,22,Kannika,26-Jul-98,Water temperature
2504,23,Boonsri,8-Aug-98,Water temperature
2867,23,Boonsri,8-Aug-98,Water temperature
4889,25,Kohsoom,22-Aug-98,Water temperature
5333,23.5,Chai,23-Aug-98,Water temperature
5811,23,Chai,23-Aug-98,Water temperature
6289,23,Chai,23-Aug-98,Water temperature
6571,21,Somchair,24-Aug-98,Water temperature
8580,23,Kannika,25-Aug-98,Water temperature
9055,23,Kannika,25-Aug-98,Water temperature
9538,23,Kannika,25-Aug-98,Water temperature
9947,23,Sakda,26-Aug-98,Water temperature
2544,14,Boonsri,5-Sep-98,Water temperature
2907,15,Boonsri,5-Sep-98,Water temperature
8620,18,Kannika,20-Sep-98,Water temperature
9095,18,Kannika,20-Sep-98,Water temperature
9578,18,Kannika,20-Sep-98,Water temperature
5373,16.5,Chai,27-Sep-98,Water temperature
5851,17,Chai,27-Sep-98,Water temperature
6329,17,Chai,27-Sep-98,Water temperature
4929,15,Kohsoom,1-Oct-98,Water temperature
2584,14,Boonsri,3-Oct-98,Water temperature
2947,14.5,Boonsri,3-Oct-98,Water temperature
8660,14,Kannika,23-Oct-98,Water temperature
9135,14,Kannika,23-Oct-98,Water temperature
9618,14,Kannika,23-Oct-98,Water temperature
9744,13,Sakda,24-Oct-98,Water temperature
9987,13,Sakda,24-Oct-98,Water temperature
10107,13,Sakda,24-Oct-98,Water temperature
6731,9,Busarakhan,29-Oct-98,Water temperature
5413,13.2,Chai,30-Oct-98,Water temperature
5891,13.2,Chai,30-Oct-98,Water temperature
6369,13.2,Chai,30-Oct-98,Water temperature
6611,8.8,Somchair,30-Oct-98,Water temperature
2624,12,Boonsri,7-Nov-98,Water temperature
2987,10,Boonsri,7-Nov-98,Water temperature
4969,5.8,Kohsoom,14-Nov-98,Water temperature
8700,3.6,Kannika,20-Nov-98,Water temperature
9175,14,Kannika,20-Nov-98,Water temperature
9658,14,Kannika,20-Nov-98,Water temperature
9784,14,Sakda,20-Nov-98,Water temperature
10027,14,Sakda,20-Nov-98,Water temperature
10147,14,Sakda,20-Nov-98,Water temperature
5453,11.1,Chai,26-Nov-98,Water temperature
5931,10.6,Chai,26-Nov-98,Water temperature
6409,10.8,Chai,26-Nov-98,Water temperature
6651,8.8,Somchair,28-Nov-98,Water temperature
6771,8.4,Busarakhan,28-Nov-98,Water temperature
2664,6,Boonsri,5-Dec-98,Water temperature
3027,5,Boonsri,5-Dec-98,Water temperature
9824,6.5,Sakda,10-Dec-98,Water temperature
10067,6.5,Sakda,10-Dec-98,Water temperature
10187,6.5,Sakda,10-Dec-98,Water temperature
5009,4.4,Kohsoom,13-Dec-98,Water temperature
9215,3.6,Kannika,17-Dec-98,Water temperature
9698,3.6,Kannika,17-Dec-98,Water temperature
5493,0,Chai,18-Dec-98,Water temperature
5971,0,Chai,18-Dec-98,Water temperature
6449,0,Chai,18-Dec-98,Water temperature
6691,0,Somchair,19-Dec-98,Water temperature
6811,0,Busarakhan,19-Dec-98,Water temperature
40972,1,Boonsri,9-Jan-99,Water temperature
41725,1,Boonsri,9-Jan-99,Water temperature
42106,1,Boonsri,9-Jan-99,Water temperature
45714,3.3,Kohsoom,16-Jan-99,Water temperature
52432,0.5,Sakda,16-Jan-99,Water temperature
52853,0.5,Sakda,16-Jan-99,Water temperature
53614,0.5,Sakda,16-Jan-99,Water temperature
50857,0.5,Kannika,21-Jan-99,Water temperature
51274,0.5,Kannika,21-Jan-99,Water temperature
52031,0.5,Kannika,21-Jan-99,Water temperature
48078,2,Somchair,27-Jan-99,Water temperature
48846,1.8,Busarakhan,27-Jan-99,Water temperature
46108,4.4,Chai,30-Jan-99,Water temperature
46900,4.5,Chai,30-Jan-99,Water temperature
47304,4.3,Chai,30-Jan-99,Water temperature
40996,1.5,Boonsri,11-Feb-99,Water temperature
41755,2.1,Boonsri,11-Feb-99,Water temperature
42130,1.7,Boonsri,11-Feb-99,Water temperature
45746,5.8,Kohsoom,13-Feb-99,Water temperature
46147,5.8,Chai,18-Feb-99,Water temperature
46938,5.9,Chai,18-Feb-99,Water temperature
47342,5.9,Chai,18-Feb-99,Water temperature
48115,0.4,Somchair,20-Feb-99,Water temperature
48883,3,Busarakhan,20-Feb-99,Water temperature
50890,5.5,Kannika,26-Feb-99,Water temperature
51308,5.5,Kannika,26-Feb-99,Water temperature
52064,9,Kannika,26-Feb-99,Water temperature
52465,8,Sakda,27-Feb-99,Water temperature
52885,8,Sakda,27-Feb-99,Water temperature
53647,8,Sakda,27-Feb-99,Water temperature
41031,5.8,Boonsri,11-Mar-99,Water temperature
41789,5.4,Boonsri,11-Mar-99,Water temperature
42164,5.6,Boonsri,11-Mar-99,Water temperature
45776,8.2,Kohsoom,13-Mar-99,Water temperature
46186,7.5,Chai,17-Mar-99,Water temperature
46976,7.5,Chai,17-Mar-99,Water temperature
47380,7.8,Chai,17-Mar-99,Water temperature
48151,5.4,Somchair,19-Mar-99,Water temperature
48919,4.2,Busarakhan,19-Mar-99,Water temperature
50925,6,Kannika,24-Mar-99,Water temperature
51342,6,Kannika,24-Mar-99,Water temperature
52097,6,Kannika,24-Mar-99,Water temperature
52501,6,Sakda,25-Mar-99,Water temperature
52920,6,Sakda,25-Mar-99,Water temperature
53681,6,Sakda,25-Mar-99,Water temperature
41067,9,Boonsri,16-Apr-99,Water temperature
41821,9,Boonsri,16-Apr-99,Water temperature
42197,9,Boonsri,16-Apr-99,Water temperature
45812,14,Kohsoom,22-Apr-99,Water temperature
46224,11.5,Chai,22-Apr-99,Water temperature
47012,11.5,Chai,22-Apr-99,Water temperature
47417,11.5,Chai,22-Apr-99,Water temperature
48187,11,Somchair,23-Apr-99,Water temperature
48955,15,Busarakhan,23-Apr-99,Water temperature
50962,12,Kannika,23-Apr-99,Water temperature
51376,12,Kannika,23-Apr-99,Water temperature
52132,12,Kannika,23-Apr-99,Water temperature
52539,13,Sakda,26-Apr-99,Water temperature
52954,13,Sakda,26-Apr-99,Water temperature
53716,13,Sakda,26-Apr-99,Water temperature
41100,12.8,Boonsri,13-May-99,Water temperature
41852,12.4,Boonsri,13-May-99,Water temperature
42231,12.6,Boonsri,13-May-99,Water temperature
45844,19,Kohsoom,15-May-99,Water temperature
46258,20,Chai,20-May-99,Water temperature
47044,20.4,Chai,20-May-99,Water temperature
47450,19.8,Chai,20-May-99,Water temperature
52569,18,Sakda,26-May-99,Water temperature
52984,18,Sakda,26-May-99,Water temperature
53747,19,Sakda,26-May-99,Water temperature
48217,16.9,Somchair,27-May-99,Water temperature
48985,16.9,Busarakhan,27-May-99,Water temperature
50993,20,Kannika,28-May-99,Water temperature
51407,20,Kannika,28-May-99,Water temperature
52165,20,Kannika,28-May-99,Water temperature
41135,17,Boonsri,6-Jun-99,Water temperature
41885,16.5,Boonsri,6-Jun-99,Water temperature
42265,16.5,Boonsri,6-Jun-99,Water temperature
45877,27,Kohsoom,18-Jun-99,Water temperature
46292,26,Chai,19-Jun-99,Water temperature
47077,26,Chai,19-Jun-99,Water temperature
47484,26,Chai,19-Jun-99,Water temperature
48248,27,Somchair,22-Jun-99,Water temperature
49018,26,Busarakhan,22-Jun-99,Water temperature
51027,26.5,Kannika,23-Jun-99,Water temperature
51439,26.5,Kannika,23-Jun-99,Water temperature
52199,25,Kannika,23-Jun-99,Water temperature
52607,27,Sakda,25-Jun-99,Water temperature
53021,27,Sakda,25-Jun-99,Water temperature
53780,27,Sakda,25-Jun-99,Water temperature
41166,20.6,Boonsri,22-Jul-99,Water temperature
41915,20.2,Boonsri,22-Jul-99,Water temperature
42295,20.4,Boonsri,22-Jul-99,Water temperature
46332,21,Chai,22-Jul-99,Water temperature
47108,20.2,Chai,22-Jul-99,Water temperature
47515,20.4,Chai,22-Jul-99,Water temperature
45915,24,Kohsoom,24-Jul-99,Water temperature
48281,18.5,Somchair,24-Jul-99,Water temperature
49056,20.1,Busarakhan,24-Jul-99,Water temperature
51067,22.5,Kannika,25-Jul-99,Water temperature
51471,22.5,Kannika,25-Jul-99,Water temperature
52231,22.5,Kannika,25-Jul-99,Water temperature
53811,18,Sakda,26-Jul-99,Water temperature
52646,23.5,Sakda,28-Jul-99,Water temperature
53053,23.5,Sakda,28-Jul-99,Water temperature
53849,23.5,Sakda,28-Jul-99,Water temperature
41198,23.5,Boonsri,19-Aug-99,Water temperature
41946,23.5,Boonsri,19-Aug-99,Water temperature
42327,23.5,Boonsri,19-Aug-99,Water temperature
45952,24,Kohsoom,28-Aug-99,Water temperature
46371,24,Chai,28-Aug-99,Water temperature
47139,24,Chai,28-Aug-99,Water temperature
47547,24,Chai,28-Aug-99,Water temperature
48319,21,Somchair,29-Aug-99,Water temperature
49094,22,Busarakhan,30-Aug-99,Water temperature
51106,22.5,Kannika,30-Aug-99,Water temperature
51502,22.5,Kannika,30-Aug-99,Water temperature
52263,22.5,Kannika,30-Aug-99,Water temperature
52685,23,Sakda,31-Aug-99,Water temperature
53084,23,Sakda,31-Aug-99,Water temperature
53881,23,Sakda,31-Aug-99,Water temperature
41229,18,Boonsri,16-Sep-99,Water temperature
41976,18.2,Boonsri,16-Sep-99,Water temperature
42334,18.2,Boonsri,16-Sep-99,Water temperature
46403,18,Chai,16-Sep-99,Water temperature
47170,18,Chai,16-Sep-99,Water temperature
47579,18,Chai,16-Sep-99,Water temperature
45982,20,Kohsoom,18-Sep-99,Water temperature
48349,12.8,Somchair,18-Sep-99,Water temperature
49124,14.2,Busarakhan,18-Sep-99,Water temperature
51138,18,Kannika,19-Sep-99,Water temperature
51533,18,Kannika,19-Sep-99,Water temperature
52295,18,Kannika,19-Sep-99,Water temperature
52717,18.5,Sakda,21-Sep-99,Water temperature
53115,18.5,Sakda,21-Sep-99,Water temperature
53913,18.5,Sakda,21-Sep-99,Water temperature
41264,17,Boonsri,10-Oct-99,Water temperature
42010,17,Boonsri,10-Oct-99,Water temperature
42341,17,Boonsri,10-Oct-99,Water temperature
46013,13.5,Kohsoom,20-Oct-99,Water temperature
46435,13,Chai,21-Oct-99,Water temperature
47201,13,Chai,21-Oct-99,Water temperature
47611,13,Chai,21-Oct-99,Water temperature
48380,10,Somchair,21-Oct-99,Water temperature
49155,10,Busarakhan,22-Oct-99,Water temperature
51170,13,Kannika,22-Oct-99,Water temperature
51564,13,Kannika,22-Oct-99,Water temperature
52327,13,Kannika,22-Oct-99,Water temperature
52749,12.5,Sakda,23-Oct-99,Water temperature
53146,12.5,Sakda,23-Oct-99,Water temperature
53945,12.5,Sakda,23-Oct-99,Water temperature
41298,6.5,Boonsri,5-Nov-99,Water temperature
42043,6.5,Boonsri,5-Nov-99,Water temperature
42348,6.5,Boonsri,5-Nov-99,Water temperature
46046,8,Kohsoom,7-Nov-99,Water temperature
46467,7.6,Chai,18-Nov-99,Water temperature
47235,9.1,Chai,18-Nov-99,Water temperature
47644,7.6,Chai,18-Nov-99,Water temperature
48413,4,Somchair,20-Nov-99,Water temperature
49188,4.9,Busarakhan,20-Nov-99,Water temperature
51205,6.5,Kannika,26-Nov-99,Water temperature
51598,6.5,Kannika,26-Nov-99,Water temperature
52362,6.5,Kannika,26-Nov-99,Water temperature
52784,7,Sakda,26-Nov-99,Water temperature
53180,7,Sakda,26-Nov-99,Water temperature
53980,7,Sakda,26-Nov-99,Water temperature
41330,5.5,Boonsri,9-Dec-99,Water temperature
42074,6.2,Boonsri,9-Dec-99,Water temperature
42355,6.2,Boonsri,9-Dec-99,Water temperature
46502,5.3,Chai,9-Dec-99,Water temperature
47269,5.3,Chai,9-Dec-99,Water temperature
47679,5.2,Chai,9-Dec-99,Water temperature
48447,2.3,Somchair,10-Dec-99,Water temperature
49222,2,Busarakhan,10-Dec-99,Water temperature
46076,8.5,Kohsoom,11-Dec-99,Water temperature
52819,4.5,Sakda,15-Dec-99,Water temperature
53214,4.5,Sakda,15-Dec-99,Water temperature
54015,4.5,Sakda,15-Dec-99,Water temperature
51240,4,Kannika,16-Dec-99,Water temperature
51632,4,Kannika,16-Dec-99,Water temperature
52397,4,Kannika,16-Dec-99,Water temperature
96711,6,Boonsri,14-Jan-00,Water temperature
97472,5.5,Boonsri,14-Jan-00,Water temperature
98264,6,Boonsri,14-Jan-00,Water temperature
104616,3.6,Chai,14-Jan-00,Water temperature
105419,3.4,Chai,14-Jan-00,Water temperature
106211,3.6,Chai,14-Jan-00,Water temperature
107001,0.7,Somchair,15-Jan-00,Water temperature
107808,0.8,Busarakhan,15-Jan-00,Water temperature
103808,5,Kohsoom,16-Jan-00,Water temperature
110645,6,Kannika,19-Jan-00,Water temperature
111446,6,Kannika,19-Jan-00,Water temperature
112243,6,Kannika,19-Jan-00,Water temperature
113042,6,Sakda,19-Jan-00,Water temperature
113843,6,Sakda,19-Jan-00,Water temperature
114638,6,Sakda,19-Jan-00,Water temperature
96714,3.6,Boonsri,10-Feb-00,Water temperature
97510,3.5,Boonsri,10-Feb-00,Water temperature
98299,3.7,Boonsri,10-Feb-00,Water temperature
103843,4,Kohsoom,12-Feb-00,Water temperature
104653,4.2,Chai,18-Feb-00,Water temperature
105456,4.4,Chai,18-Feb-00,Water temperature
106248,4.5,Chai,18-Feb-00,Water temperature
110682,4,Kannika,18-Feb-00,Water temperature
111483,4,Kannika,18-Feb-00,Water temperature
112280,4,Kannika,18-Feb-00,Water temperature
107038,1.6,Somchair,19-Feb-00,Water temperature
107845,1.5,Busarakhan,19-Feb-00,Water temperature
113079,4.5,Sakda,19-Feb-00,Water temperature
113880,4.5,Sakda,19-Feb-00,Water temperature
114675,4.5,Sakda,19-Feb-00,Water temperature
96752,6,Boonsri,10-Mar-00,Water temperature
97548,5.5,Boonsri,10-Mar-00,Water temperature
98337,5.5,Boonsri,10-Mar-00,Water temperature
103881,7,Kohsoom,12-Mar-00,Water temperature
104690,5.3,Chai,18-Mar-00,Water temperature
105493,5.3,Chai,18-Mar-00,Water temperature
106285,5.3,Chai,18-Mar-00,Water temperature
107075,2.5,Somchair,19-Mar-00,Water temperature
107882,2.3,Busarakhan,19-Mar-00,Water temperature
113116,5.5,Sakda,23-Mar-00,Water temperature
113917,5.5,Sakda,23-Mar-00,Water temperature
114712,5.5,Sakda,23-Mar-00,Water temperature
110719,6,Kannika,24-Mar-00,Water temperature
111520,6,Kannika,24-Mar-00,Water temperature
112317,6,Kannika,24-Mar-00,Water temperature
96790,7.7,Boonsri,14-Apr-00,Water temperature
97583,7.2,Boonsri,14-Apr-00,Water temperature
98372,7.5,Boonsri,14-Apr-00,Water temperature
103919,15,Kohsoom,16-Apr-00,Water temperature
104728,14,Chai,28-Apr-00,Water temperature
105531,14,Chai,28-Apr-00,Water temperature
106323,14,Chai,28-Apr-00,Water temperature
107113,14.5,Somchair,28-Apr-00,Water temperature
107920,14.5,Busarakhan,29-Apr-00,Water temperature
110757,14,Kannika,29-Apr-00,Water temperature
111558,14,Kannika,29-Apr-00,Water temperature
112355,14,Kannika,29-Apr-00,Water temperature
113154,14,Sakda,29-Apr-00,Water temperature
113955,14,Sakda,29-Apr-00,Water temperature
114750,14,Sakda,29-Apr-00,Water temperature
96829,14,Boonsri,12-May-00,Water temperature
97622,13.8,Boonsri,12-May-00,Water temperature
98411,16.1,Boonsri,12-May-00,Water temperature
103958,17,Kohsoom,14-May-00,Water temperature
104765,13.4,Chai,19-May-00,Water temperature
105569,13.6,Chai,19-May-00,Water temperature
106361,13.3,Chai,19-May-00,Water temperature
107151,9.8,Somchair,20-May-00,Water temperature
113193,18,Sakda,26-May-00,Water temperature
113994,18,Sakda,26-May-00,Water temperature
114788,18,Sakda,26-May-00,Water temperature
107959,11.2,Busarakhan,27-May-00,Water temperature
110795,18.5,Kannika,27-May-00,Water temperature
111596,18.5,Kannika,27-May-00,Water temperature
112392,18.5,Kannika,27-May-00,Water temperature
96866,21.5,Boonsri,9-Jun-00,Water temperature
97658,20.6,Boonsri,9-Jun-00,Water temperature
98447,21.7,Boonsri,9-Jun-00,Water temperature
113231,23,Sakda,24-Jun-00,Water temperature
114032,23,Sakda,24-Jun-00,Water temperature
114826,23,Sakda,24-Jun-00,Water temperature
110833,23.5,Kannika,25-Jun-00,Water temperature
111634,23.5,Kannika,25-Jun-00,Water temperature
112430,23.5,Kannika,25-Jun-00,Water temperature
107997,23,Busarakhan,26-Jun-00,Water temperature
107189,23,Somchair,27-Jun-00,Water temperature
104803,25,Chai,28-Jun-00,Water temperature
105607,25,Chai,28-Jun-00,Water temperature
106399,25,Chai,28-Jun-00,Water temperature
103996,26,Kohsoom,29-Jun-00,Water temperature
96905,21.6,Boonsri,14-Jul-00,Water temperature
97697,21.6,Boonsri,14-Jul-00,Water temperature
98486,22,Boonsri,14-Jul-00,Water temperature
104040,26,Kohsoom,16-Jul-00,Water temperature
104844,22.5,Chai,21-Jul-00,Water temperature
105645,22.5,Chai,21-Jul-00,Water temperature
106436,22.5,Chai,21-Jul-00,Water temperature
107231,19.5,Somchair,27-Jul-00,Water temperature
108039,21.8,Busarakhan,28-Jul-00,Water temperature
110868,26,Kannika,28-Jul-00,Water temperature
111670,26,Kannika,28-Jul-00,Water temperature
112471,26,Kannika,28-Jul-00,Water temperature
113266,26,Sakda,29-Jul-00,Water temperature
114068,26,Sakda,29-Jul-00,Water temperature
114867,26,Sakda,29-Jul-00,Water temperature
96940,26,Boonsri,17-Aug-00,Water temperature
97732,26,Boonsri,17-Aug-00,Water temperature
98521,26,Boonsri,17-Aug-00,Water temperature
104081,26.5,Kohsoom,25-Aug-00,Water temperature
104886,25,Chai,26-Aug-00,Water temperature
105677,25,Chai,26-Aug-00,Water temperature
106468,25,Chai,26-Aug-00,Water temperature
107271,22,Somchair,27-Aug-00,Water temperature
108079,22,Busarakhan,28-Aug-00,Water temperature
110909,25,Kannika,28-Aug-00,Water temperature
111705,25,Kannika,28-Aug-00,Water temperature
112506,25,Kannika,28-Aug-00,Water temperature
113307,24.5,Sakda,29-Aug-00,Water temperature
114103,24.5,Sakda,29-Aug-00,Water temperature
114902,24.5,Sakda,29-Aug-00,Water temperature
96974,18.2,Boonsri,8-Sep-00,Water temperature
97767,18.4,Boonsri,8-Sep-00,Water temperature
98555,18,Boonsri,8-Sep-00,Water temperature
104117,23,Kohsoom,10-Sep-00,Water temperature
113342,18.5,Sakda,21-Sep-00,Water temperature
114137,18.5,Sakda,21-Sep-00,Water temperature
114936,18.5,Sakda,21-Sep-00,Water temperature
104920,16,Chai,23-Sep-00,Water temperature
105712,16,Chai,23-Sep-00,Water temperature
106503,16,Chai,23-Sep-00,Water temperature
110943,18,Kannika,23-Sep-00,Water temperature
111740,18,Kannika,23-Sep-00,Water temperature
112540,18,Kannika,23-Sep-00,Water temperature
107305,16,Somchair,24-Sep-00,Water temperature
108115,16,Busarakhan,24-Sep-00,Water temperature
97008,13.8,Boonsri,6-Oct-00,Water temperature
97801,13.9,Boonsri,6-Oct-00,Water temperature
98589,13.8,Boonsri,6-Oct-00,Water temperature
104152,15,Kohsoom,15-Oct-00,Water temperature
104955,16,Chai,16-Oct-00,Water temperature
105747,16,Chai,16-Oct-00,Water temperature
106535,16,Chai,16-Oct-00,Water temperature
107340,13,Somchair,17-Oct-00,Water temperature
108150,13,Busarakhan,18-Oct-00,Water temperature
110977,16,Kannika,18-Oct-00,Water temperature
111775,16,Kannika,18-Oct-00,Water temperature
112574,16,Kannika,18-Oct-00,Water temperature
113376,16,Sakda,19-Oct-00,Water temperature
114171,16,Sakda,19-Oct-00,Water temperature
114970,16,Sakda,19-Oct-00,Water temperature
97043,9,Boonsri,10-Nov-00,Water temperature
97836,8.7,Boonsri,10-Nov-00,Water temperature
98624,8.8,Boonsri,10-Nov-00,Water temperature
104186,9.8,Kohsoom,12-Nov-00,Water temperature
104990,5,Chai,18-Nov-00,Water temperature
105782,5,Chai,18-Nov-00,Water temperature
106569,5,Chai,18-Nov-00,Water temperature
107375,5,Somchair,23-Nov-00,Water temperature
113411,5,Sakda,23-Nov-00,Water temperature
114206,5,Sakda,23-Nov-00,Water temperature
115005,5,Sakda,23-Nov-00,Water temperature
108184,5,Busarakhan,24-Nov-00,Water temperature
111013,4,Kannika,25-Nov-00,Water temperature
111810,4,Kannika,25-Nov-00,Water temperature
112609,4,Kannika,25-Nov-00,Water temperature
105024,3.8,Chai,3-Dec-00,Water temperature
105816,3.8,Chai,3-Dec-00,Water temperature
106602,4,Chai,3-Dec-00,Water temperature
107409,1.1,Somchair,4-Dec-00,Water temperature
108217,1.7,Busarakhan,4-Dec-00,Water temperature
97077,1.9,Boonsri,8-Dec-00,Water temperature
97869,2,Boonsri,8-Dec-00,Water temperature
98657,2,Boonsri,8-Dec-00,Water temperature
104220,1.6,Kohsoom,10-Dec-00,Water temperature
111047,2,Kannika,30-Dec-00,Water temperature
111844,2,Kannika,30-Dec-00,Water temperature
112643,2,Kannika,30-Dec-00,Water temperature
113445,1.5,Sakda,30-Dec-00,Water temperature
114240,1.5,Sakda,30-Dec-00,Water temperature
115039,1.5,Sakda,30-Dec-00,Water temperature
166024,3.5,Chai,16-Jan-01,Water temperature
166743,3.5,Chai,16-Jan-01,Water temperature
167459,3.5,Chai,16-Jan-01,Water temperature
168175,3,Somchair,17-Jan-01,Water temperature
168882,3.8,Busarakhan,17-Jan-01,Water temperature
158791,3,Boonsri,20-Jan-01,Water temperature
159477,3.4,Boonsri,20-Jan-01,Water temperature
160160,4,Boonsri,20-Jan-01,Water temperature
173700,3,Sakda,25-Jan-01,Water temperature
174446,3,Sakda,25-Jan-01,Water temperature
175192,3,Sakda,25-Jan-01,Water temperature
171471,3,Kannika,27-Jan-01,Water temperature
172215,3,Kannika,27-Jan-01,Water temperature
172958,3,Kannika,27-Jan-01,Water temperature
165271,2.5,Kohsoom,28-Jan-01,Water temperature
166058,2.4,Chai,17-Feb-01,Water temperature
166777,2.6,Chai,17-Feb-01,Water temperature
167493,2.4,Chai,17-Feb-01,Water temperature
165307,1.4,Kohsoom,18-Feb-01,Water temperature
168207,3.6,Somchair,18-Feb-01,Water temperature
168915,3.2,Busarakhan,18-Feb-01,Water temperature
173735,3,Sakda,22-Feb-01,Water temperature
174481,3,Sakda,22-Feb-01,Water temperature
175227,3,Sakda,22-Feb-01,Water temperature
171506,4,Kannika,24-Feb-01,Water temperature
172250,4,Kannika,24-Feb-01,Water temperature
172993,4,Kannika,24-Feb-01,Water temperature
158815,7.6,Boonsri,10-Mar-01,Water temperature
159501,7.2,Boonsri,10-Mar-01,Water temperature
160184,7.2,Boonsri,10-Mar-01,Water temperature
165343,5,Kohsoom,18-Mar-01,Water temperature
173772,6.5,Sakda,22-Mar-01,Water temperature
174518,6.5,Sakda,22-Mar-01,Water temperature
175264,6.5,Sakda,22-Mar-01,Water temperature
171543,8,Kannika,25-Mar-01,Water temperature
172287,8,Kannika,25-Mar-01,Water temperature
173030,8,Kannika,25-Mar-01,Water temperature
166095,7,Chai,31-Mar-01,Water temperature
166814,7,Chai,31-Mar-01,Water temperature
167530,7,Chai,31-Mar-01,Water temperature
168244,6.5,Somchair,31-Mar-01,Water temperature
168952,6,Busarakhan,31-Mar-01,Water temperature
158839,12,Boonsri,19-Apr-01,Water temperature
159525,12,Boonsri,19-Apr-01,Water temperature
160208,12,Boonsri,19-Apr-01,Water temperature
165377,15,Kohsoom,27-Apr-01,Water temperature
166132,14,Chai,27-Apr-01,Water temperature
166851,14,Chai,27-Apr-01,Water temperature
167567,14,Chai,27-Apr-01,Water temperature
168281,14,Somchair,29-Apr-01,Water temperature
168989,14.9,Busarakhan,29-Apr-01,Water temperature
171580,14,Kannika,29-Apr-01,Water temperature
172324,14,Kannika,29-Apr-01,Water temperature
173067,14,Kannika,29-Apr-01,Water temperature
173809,14,Sakda,30-Apr-01,Water temperature
174555,14,Sakda,30-Apr-01,Water temperature
175301,14,Sakda,30-Apr-01,Water temperature
158873,9,Boonsri,4-May-01,Water temperature
159558,8,Boonsri,4-May-01,Water temperature
160241,8,Boonsri,4-May-01,Water temperature
165412,17.5,Kohsoom,13-May-01,Water temperature
166167,18,Chai,27-May-01,Water temperature
166886,17,Chai,27-May-01,Water temperature
167602,17,Chai,27-May-01,Water temperature
171615,18.5,Kannika,27-May-01,Water temperature
172359,18.5,Kannika,27-May-01,Water temperature
173102,18.5,Kannika,27-May-01,Water temperature
173844,19,Sakda,27-May-01,Water temperature
174590,19,Sakda,27-May-01,Water temperature
175336,19,Sakda,27-May-01,Water temperature
168317,18,Somchair,28-May-01,Water temperature
169024,19,Busarakhan,28-May-01,Water temperature
158907,23.5,Boonsri,6-Jun-01,Water temperature
159589,23.5,Boonsri,6-Jun-01,Water temperature
160272,23.5,Boonsri,6-Jun-01,Water temperature
165449,26,Kohsoom,19-Jun-01,Water temperature
166204,24.5,Chai,19-Jun-01,Water temperature
166923,24.5,Chai,19-Jun-01,Water temperature
167638,24.5,Chai,19-Jun-01,Water temperature
168354,24.5,Somchair,21-Jun-01,Water temperature
169061,25.6,Busarakhan,21-Jun-01,Water temperature
