id,Anionic value,location,sample date,measure
113871,0.14,Sakda,19-Jan-00,Anionic active surfactants
114666,0.13,Sakda,19-Jan-00,Anionic active surfactants
96742,0.04,Boonsri,10-Feb-00,Anionic active surfactants
97538,0.04,Boonsri,10-Feb-00,Anionic active surfactants
98327,0.05,Boonsri,10-Feb-00,Anionic active surfactants
103871,0.15,Kohsoom,12-Feb-00,Anionic active surfactants
104681,0.09,Chai,18-Feb-00,Anionic active surfactants
105484,0.07,Chai,18-Feb-00,Anionic active surfactants
106276,0.09,Chai,18-Feb-00,Anionic active surfactants
110710,0.06,Kannika,18-Feb-00,Anionic active surfactants
111511,0.07,Kannika,18-Feb-00,Anionic active surfactants
112308,0.08,Kannika,18-Feb-00,Anionic active surfactants
107066,0.19,Somchair,19-Feb-00,Anionic active surfactants
107873,0.18,Busarakhan,19-Feb-00,Anionic active surfactants
113107,0.08,Sakda,19-Feb-00,Anionic active surfactants
113908,0.08,Sakda,19-Feb-00,Anionic active surfactants
114703,0.08,Sakda,19-Feb-00,Anionic active surfactants
96780,0.05,Boonsri,10-Mar-00,Anionic active surfactants
97576,0.04,Boonsri,10-Mar-00,Anionic active surfactants
98365,0.04,Boonsri,10-Mar-00,Anionic active surfactants
103909,0.13,Kohsoom,12-Mar-00,Anionic active surfactants
104718,0.08,Chai,18-Mar-00,Anionic active surfactants
105521,0.05,Chai,18-Mar-00,Anionic active surfactants
106313,0.08,Chai,18-Mar-00,Anionic active surfactants
107103,0.11,Somchair,19-Mar-00,Anionic active surfactants
107910,0.13,Busarakhan,19-Mar-00,Anionic active surfactants
113144,0.06,Sakda,23-Mar-00,Anionic active surfactants
113945,0.06,Sakda,23-Mar-00,Anionic active surfactants
114740,0.07,Sakda,23-Mar-00,Anionic active surfactants
110747,0.09,Kannika,24-Mar-00,Anionic active surfactants
111548,0.08,Kannika,24-Mar-00,Anionic active surfactants
112345,0.08,Kannika,24-Mar-00,Anionic active surfactants
96819,0.05,Boonsri,14-Apr-00,Anionic active surfactants
97612,0.06,Boonsri,14-Apr-00,Anionic active surfactants
98401,0.06,Boonsri,14-Apr-00,Anionic active surfactants
103948,0.17,Kohsoom,16-Apr-00,Anionic active surfactants
104757,0.09,Chai,28-Apr-00,Anionic active surfactants
105560,0.07,Chai,28-Apr-00,Anionic active surfactants
106352,0.09,Chai,28-Apr-00,Anionic active surfactants
107142,0.13,Somchair,28-Apr-00,Anionic active surfactants
107949,0.12,Busarakhan,29-Apr-00,Anionic active surfactants
110786,0.11,Kannika,29-Apr-00,Anionic active surfactants
111587,0.1,Kannika,29-Apr-00,Anionic active surfactants
112384,0.1,Kannika,29-Apr-00,Anionic active surfactants
113183,0.08,Sakda,29-Apr-00,Anionic active surfactants
113984,0.08,Sakda,29-Apr-00,Anionic active surfactants
114779,0.1,Sakda,29-Apr-00,Anionic active surfactants
96857,0.06,Boonsri,12-May-00,Anionic active surfactants
97650,0.06,Boonsri,12-May-00,Anionic active surfactants
98439,0.05,Boonsri,12-May-00,Anionic active surfactants
103986,0.12,Kohsoom,14-May-00,Anionic active surfactants
104793,0.08,Chai,19-May-00,Anionic active surfactants
105597,0.05,Chai,19-May-00,Anionic active surfactants
106389,0.09,Chai,19-May-00,Anionic active surfactants
107179,0.13,Somchair,20-May-00,Anionic active surfactants
113221,0.07,Sakda,26-May-00,Anionic active surfactants
114022,0.08,Sakda,26-May-00,Anionic active surfactants
114816,0.08,Sakda,26-May-00,Anionic active surfactants
107987,0.11,Busarakhan,27-May-00,Anionic active surfactants
110823,0.08,Kannika,27-May-00,Anionic active surfactants
111624,0.07,Kannika,27-May-00,Anionic active surfactants
112420,0.09,Kannika,27-May-00,Anionic active surfactants
96895,0.08,Boonsri,9-Jun-00,Anionic active surfactants
97687,0.09,Boonsri,9-Jun-00,Anionic active surfactants
98476,0.09,Boonsri,9-Jun-00,Anionic active surfactants
113260,0.11,Sakda,24-Jun-00,Anionic active surfactants
114061,0.09,Sakda,24-Jun-00,Anionic active surfactants
114855,0.09,Sakda,24-Jun-00,Anionic active surfactants
110862,0.14,Kannika,25-Jun-00,Anionic active surfactants
111663,0.12,Kannika,25-Jun-00,Anionic active surfactants
112459,0.1,Kannika,25-Jun-00,Anionic active surfactants
108026,0.13,Busarakhan,26-Jun-00,Anionic active surfactants
107218,0.15,Somchair,27-Jun-00,Anionic active surfactants
104832,0.11,Chai,28-Jun-00,Anionic active surfactants
105636,0.13,Chai,28-Jun-00,Anionic active surfactants
106428,0.1,Chai,28-Jun-00,Anionic active surfactants
104025,0.2,Kohsoom,29-Jun-00,Anionic active surfactants
96933,0.06,Boonsri,14-Jul-00,Anionic active surfactants
97725,0.06,Boonsri,14-Jul-00,Anionic active surfactants
98514,0.05,Boonsri,14-Jul-00,Anionic active surfactants
104068,0.12,Kohsoom,16-Jul-00,Anionic active surfactants
104872,0.1,Chai,21-Jul-00,Anionic active surfactants
105673,0.09,Chai,21-Jul-00,Anionic active surfactants
106464,0.1,Chai,21-Jul-00,Anionic active surfactants
107259,0.14,Somchair,27-Jul-00,Anionic active surfactants
108067,0.11,Busarakhan,28-Jul-00,Anionic active surfactants
110896,0.08,Kannika,28-Jul-00,Anionic active surfactants
111698,0.09,Kannika,28-Jul-00,Anionic active surfactants
112499,0.07,Kannika,28-Jul-00,Anionic active surfactants
113294,0.07,Sakda,29-Jul-00,Anionic active surfactants
114096,0.08,Sakda,29-Jul-00,Anionic active surfactants
114895,0.07,Sakda,29-Jul-00,Anionic active surfactants
96969,0.06,Boonsri,17-Aug-00,Anionic active surfactants
97761,0.06,Boonsri,17-Aug-00,Anionic active surfactants
98550,0.06,Boonsri,17-Aug-00,Anionic active surfactants
104110,0.1,Kohsoom,25-Aug-00,Anionic active surfactants
104915,0.07,Chai,26-Aug-00,Anionic active surfactants
105706,0.08,Chai,26-Aug-00,Anionic active surfactants
106497,0.08,Chai,26-Aug-00,Anionic active surfactants
107300,0.09,Somchair,27-Aug-00,Anionic active surfactants
108108,0.08,Busarakhan,28-Aug-00,Anionic active surfactants
110938,0.1,Kannika,28-Aug-00,Anionic active surfactants
111734,0.08,Kannika,28-Aug-00,Anionic active surfactants
112535,0.1,Kannika,28-Aug-00,Anionic active surfactants
113336,0.08,Sakda,29-Aug-00,Anionic active surfactants
114132,0.08,Sakda,29-Aug-00,Anionic active surfactants
114931,0.08,Sakda,29-Aug-00,Anionic active surfactants
97002,0.06,Boonsri,8-Sep-00,Anionic active surfactants
97795,0.06,Boonsri,8-Sep-00,Anionic active surfactants
98583,0.05,Boonsri,8-Sep-00,Anionic active surfactants
104145,0.09,Kohsoom,10-Sep-00,Anionic active surfactants
113370,0.08,Sakda,21-Sep-00,Anionic active surfactants
114165,0.09,Sakda,21-Sep-00,Anionic active surfactants
114964,0.08,Sakda,21-Sep-00,Anionic active surfactants
104948,0.05,Chai,23-Sep-00,Anionic active surfactants
105740,0.05,Chai,23-Sep-00,Anionic active surfactants
106531,0.05,Chai,23-Sep-00,Anionic active surfactants
110971,0.07,Kannika,23-Sep-00,Anionic active surfactants
111768,0.08,Kannika,23-Sep-00,Anionic active surfactants
112568,0.08,Kannika,23-Sep-00,Anionic active surfactants
107333,0.11,Somchair,24-Sep-00,Anionic active surfactants
108143,0.12,Busarakhan,24-Sep-00,Anionic active surfactants
97037,0.05,Boonsri,6-Oct-00,Anionic active surfactants
97830,0.06,Boonsri,6-Oct-00,Anionic active surfactants
98618,0.05,Boonsri,6-Oct-00,Anionic active surfactants
104181,0.14,Kohsoom,15-Oct-00,Anionic active surfactants
104984,0.07,Chai,16-Oct-00,Anionic active surfactants
105776,0.07,Chai,16-Oct-00,Anionic active surfactants
106564,0.09,Chai,16-Oct-00,Anionic active surfactants
107369,0.1,Somchair,17-Oct-00,Anionic active surfactants
108179,0.09,Busarakhan,18-Oct-00,Anionic active surfactants
111006,0.08,Kannika,18-Oct-00,Anionic active surfactants
111804,0.09,Kannika,18-Oct-00,Anionic active surfactants
112603,0.11,Kannika,18-Oct-00,Anionic active surfactants
113405,0.09,Sakda,19-Oct-00,Anionic active surfactants
114200,0.1,Sakda,19-Oct-00,Anionic active surfactants
114999,0.09,Sakda,19-Oct-00,Anionic active surfactants
97071,0.05,Boonsri,10-Nov-00,Anionic active surfactants
97864,0.06,Boonsri,10-Nov-00,Anionic active surfactants
98652,0.05,Boonsri,10-Nov-00,Anionic active surfactants
104214,0.09,Kohsoom,12-Nov-00,Anionic active surfactants
105018,0.06,Chai,18-Nov-00,Anionic active surfactants
105810,0.07,Chai,18-Nov-00,Anionic active surfactants
106597,0.06,Chai,18-Nov-00,Anionic active surfactants
107403,0.07,Somchair,23-Nov-00,Anionic active surfactants
113439,0.08,Sakda,23-Nov-00,Anionic active surfactants
114234,0.08,Sakda,23-Nov-00,Anionic active surfactants
115033,0.09,Sakda,23-Nov-00,Anionic active surfactants
108212,0.08,Busarakhan,24-Nov-00,Anionic active surfactants
111041,0.09,Kannika,25-Nov-00,Anionic active surfactants
111838,0.09,Kannika,25-Nov-00,Anionic active surfactants
112637,0.09,Kannika,25-Nov-00,Anionic active surfactants
105052,0.06,Chai,3-Dec-00,Anionic active surfactants
105844,0.06,Chai,3-Dec-00,Anionic active surfactants
106630,0.07,Chai,3-Dec-00,Anionic active surfactants
107437,0.07,Somchair,4-Dec-00,Anionic active surfactants
108245,0.04,Busarakhan,4-Dec-00,Anionic active surfactants
97105,0.05,Boonsri,8-Dec-00,Anionic active surfactants
97897,0.05,Boonsri,8-Dec-00,Anionic active surfactants
98685,0.04,Boonsri,8-Dec-00,Anionic active surfactants
104248,0.09,Kohsoom,10-Dec-00,Anionic active surfactants
111075,0.09,Kannika,30-Dec-00,Anionic active surfactants
111872,0.1,Kannika,30-Dec-00,Anionic active surfactants
112671,0.11,Kannika,30-Dec-00,Anionic active surfactants
113473,0.09,Sakda,30-Dec-00,Anionic active surfactants
114268,0.1,Sakda,30-Dec-00,Anionic active surfactants
115067,0.1,Sakda,30-Dec-00,Anionic active surfactants
166052,0.04,Chai,16-Jan-01,Anionic active surfactants
166771,0.04,Chai,16-Jan-01,Anionic active surfactants
167487,0.05,Chai,16-Jan-01,Anionic active surfactants
168203,0.13,Somchair,17-Jan-01,Anionic active surfactants
168910,0.08,Busarakhan,17-Jan-01,Anionic active surfactants
158812,0,Boonsri,20-Jan-01,Anionic active surfactants
159498,0,Boonsri,20-Jan-01,Anionic active surfactants
160181,0,Boonsri,20-Jan-01,Anionic active surfactants
173728,0.09,Sakda,25-Jan-01,Anionic active surfactants
174474,0.09,Sakda,25-Jan-01,Anionic active surfactants
175220,0.09,Sakda,25-Jan-01,Anionic active surfactants
171499,0.1,Kannika,27-Jan-01,Anionic active surfactants
172243,0.11,Kannika,27-Jan-01,Anionic active surfactants
172986,0.11,Kannika,27-Jan-01,Anionic active surfactants
165299,0.06,Kohsoom,28-Jan-01,Anionic active surfactants
166086,0.07,Chai,17-Feb-01,Anionic active surfactants
166805,0.07,Chai,17-Feb-01,Anionic active surfactants
167521,0.07,Chai,17-Feb-01,Anionic active surfactants
165335,0.06,Kohsoom,18-Feb-01,Anionic active surfactants
168235,0.06,Somchair,18-Feb-01,Anionic active surfactants
168943,0.08,Busarakhan,18-Feb-01,Anionic active surfactants
173763,0.09,Sakda,22-Feb-01,Anionic active surfactants
174509,0.09,Sakda,22-Feb-01,Anionic active surfactants
175255,0.09,Sakda,22-Feb-01,Anionic active surfactants
171534,0.12,Kannika,24-Feb-01,Anionic active surfactants
172278,0.13,Kannika,24-Feb-01,Anionic active surfactants
173021,0.13,Kannika,24-Feb-01,Anionic active surfactants
158836,0,Boonsri,10-Mar-01,Anionic active surfactants
159522,0,Boonsri,10-Mar-01,Anionic active surfactants
160205,0,Boonsri,10-Mar-01,Anionic active surfactants
165371,0.08,Kohsoom,18-Mar-01,Anionic active surfactants
173800,0.03,Sakda,22-Mar-01,Anionic active surfactants
174546,0.03,Sakda,22-Mar-01,Anionic active surfactants
175292,0.04,Sakda,22-Mar-01,Anionic active surfactants
171571,0.04,Kannika,25-Mar-01,Anionic active surfactants
172315,0.04,Kannika,25-Mar-01,Anionic active surfactants
173058,0.04,Kannika,25-Mar-01,Anionic active surfactants
166123,0,Chai,31-Mar-01,Anionic active surfactants
166842,0.05,Chai,31-Mar-01,Anionic active surfactants
167558,0.06,Chai,31-Mar-01,Anionic active surfactants
168272,0.09,Somchair,31-Mar-01,Anionic active surfactants
168980,0.07,Busarakhan,31-Mar-01,Anionic active surfactants
158867,0,Boonsri,19-Apr-01,Anionic active surfactants
159552,0.04,Boonsri,19-Apr-01,Anionic active surfactants
160236,0.04,Boonsri,19-Apr-01,Anionic active surfactants
165405,0.1,Kohsoom,27-Apr-01,Anionic active surfactants
166160,0.06,Chai,27-Apr-01,Anionic active surfactants
166879,0.05,Chai,27-Apr-01,Anionic active surfactants
167595,0.05,Chai,27-Apr-01,Anionic active surfactants
168309,0.09,Somchair,29-Apr-01,Anionic active surfactants
169017,0.08,Busarakhan,29-Apr-01,Anionic active surfactants
171608,0.08,Kannika,29-Apr-01,Anionic active surfactants
172352,0.07,Kannika,29-Apr-01,Anionic active surfactants
173095,0.08,Kannika,29-Apr-01,Anionic active surfactants
173837,0.06,Sakda,30-Apr-01,Anionic active surfactants
174583,0.08,Sakda,30-Apr-01,Anionic active surfactants
175329,0.06,Sakda,30-Apr-01,Anionic active surfactants
158901,0,Boonsri,4-May-01,Anionic active surfactants
159586,0,Boonsri,4-May-01,Anionic active surfactants
160269,0,Boonsri,4-May-01,Anionic active surfactants
165440,0.08,Kohsoom,13-May-01,Anionic active surfactants
166195,0.08,Chai,27-May-01,Anionic active surfactants
166914,0.15,Chai,27-May-01,Anionic active surfactants
167630,0.17,Chai,27-May-01,Anionic active surfactants
171643,0.14,Kannika,27-May-01,Anionic active surfactants
172387,0.14,Kannika,27-May-01,Anionic active surfactants
173130,0.14,Kannika,27-May-01,Anionic active surfactants
173872,0.28,Sakda,27-May-01,Anionic active surfactants
174618,0.2,Sakda,27-May-01,Anionic active surfactants
175364,0.23,Sakda,27-May-01,Anionic active surfactants
168345,0.06,Somchair,28-May-01,Anionic active surfactants
169052,0,Busarakhan,28-May-01,Anionic active surfactants
158936,0,Boonsri,6-Jun-01,Anionic active surfactants
159618,0,Boonsri,6-Jun-01,Anionic active surfactants
160301,0,Boonsri,6-Jun-01,Anionic active surfactants
165478,0.07,Kohsoom,19-Jun-01,Anionic active surfactants
166233,0.08,Chai,19-Jun-01,Anionic active surfactants
166952,0.1,Chai,19-Jun-01,Anionic active surfactants
167667,0.1,Chai,19-Jun-01,Anionic active surfactants
168383,0.07,Somchair,21-Jun-01,Anionic active surfactants
169090,0.05,Busarakhan,21-Jun-01,Anionic active surfactants
171681,0.12,Kannika,21-Jun-01,Anionic active surfactants
172425,0.1,Kannika,21-Jun-01,Anionic active surfactants
173168,0.12,Kannika,21-Jun-01,Anionic active surfactants
173910,0.1,Sakda,21-Jun-01,Anionic active surfactants
174656,0.1,Sakda,21-Jun-01,Anionic active surfactants
175402,0.12,Sakda,21-Jun-01,Anionic active surfactants
166270,0.13,Chai,7-Jul-01,Anionic active surfactants
166989,0.17,Chai,7-Jul-01,Anionic active surfactants
167704,0.13,Chai,7-Jul-01,Anionic active surfactants
158972,0.04,Boonsri,27-Jul-01,Anionic active surfactants
159654,0,Boonsri,27-Jul-01,Anionic active surfactants
160337,0,Boonsri,27-Jul-01,Anionic active surfactants
165515,0.15,Kohsoom,27-Jul-01,Anionic active surfactants
171717,0.07,Kannika,27-Jul-01,Anionic active surfactants
172459,0.08,Kannika,27-Jul-01,Anionic active surfactants
173204,0.07,Kannika,27-Jul-01,Anionic active surfactants
173947,0.1,Sakda,27-Jul-01,Anionic active surfactants
174692,0.11,Sakda,27-Jul-01,Anionic active surfactants
175439,0.11,Sakda,27-Jul-01,Anionic active surfactants
168419,0.06,Somchair,28-Jul-01,Anionic active surfactants
169126,0.14,Busarakhan,28-Jul-01,Anionic active surfactants
159003,0.05,Boonsri,4-Aug-01,Anionic active surfactants
159685,0.04,Boonsri,4-Aug-01,Anionic active surfactants
165549,0.12,Kohsoom,26-Aug-01,Anionic active surfactants
166305,0.1,Chai,26-Aug-01,Anionic active surfactants
167023,0.12,Chai,26-Aug-01,Anionic active surfactants
167739,0.11,Chai,26-Aug-01,Anionic active surfactants
168453,0.08,Somchair,28-Aug-01,Anionic active surfactants
169158,0.1,Busarakhan,28-Aug-01,Anionic active surfactants
171750,0.09,Kannika,28-Aug-01,Anionic active surfactants
172492,0.1,Kannika,28-Aug-01,Anionic active surfactants
173236,0.08,Kannika,28-Aug-01,Anionic active surfactants
173980,0.12,Sakda,29-Aug-01,Anionic active surfactants
174724,0.09,Sakda,29-Aug-01,Anionic active surfactants
175470,0.1,Sakda,29-Aug-01,Anionic active surfactants
165576,0.07,Kohsoom,16-Sep-01,Anionic active surfactants
166340,0.06,Chai,22-Sep-01,Anionic active surfactants
167058,0.07,Chai,22-Sep-01,Anionic active surfactants
167773,0.08,Chai,22-Sep-01,Anionic active surfactants
168480,0.21,Somchair,23-Sep-01,Anionic active surfactants
169193,0.27,Busarakhan,23-Sep-01,Anionic active surfactants
171783,0.17,Kannika,25-Sep-01,Anionic active surfactants
172525,0.19,Kannika,25-Sep-01,Anionic active surfactants
173268,0.19,Kannika,25-Sep-01,Anionic active surfactants
174014,0.15,Sakda,25-Sep-01,Anionic active surfactants
174758,0.17,Sakda,25-Sep-01,Anionic active surfactants
175502,0.17,Sakda,25-Sep-01,Anionic active surfactants
168511,0.5,Somchair,18-Nov-01,Anionic active surfactants
169225,0.39,Busarakhan,18-Nov-01,Anionic active surfactants
166372,0.34,Chai,22-Nov-01,Anionic active surfactants
167089,0.4,Chai,22-Nov-01,Anionic active surfactants
167805,0.44,Chai,22-Nov-01,Anionic active surfactants
174043,0.51,Sakda,23-Nov-01,Anionic active surfactants
174788,0.58,Sakda,23-Nov-01,Anionic active surfactants
175531,0.53,Sakda,23-Nov-01,Anionic active surfactants
159105,0.03,Boonsri,7-Dec-01,Anionic active surfactants
159788,0,Boonsri,7-Dec-01,Anionic active surfactants
160473,0.03,Boonsri,7-Dec-01,Anionic active surfactants
171845,0.03,Kannika,21-Dec-01,Anionic active surfactants
172588,0.05,Kannika,21-Dec-01,Anionic active surfactants
173330,0.05,Kannika,21-Dec-01,Anionic active surfactants
174076,0.03,Sakda,21-Dec-01,Anionic active surfactants
174822,0.03,Sakda,21-Dec-01,Anionic active surfactants
175565,0.03,Sakda,21-Dec-01,Anionic active surfactants
227768,0.08,Boonsri,27-Sep-02,Anionic active surfactants
228683,0.07,Boonsri,27-Sep-02,Anionic active surfactants
229540,0.06,Boonsri,27-Sep-02,Anionic active surfactants
234889,0.37,Kohsoom,10-Oct-02,Anionic active surfactants
235801,0.06,Chai,10-Oct-02,Anionic active surfactants
236754,0.05,Chai,10-Oct-02,Anionic active surfactants
237698,0.05,Chai,10-Oct-02,Anionic active surfactants
238436,0.08,Somchair,12-Oct-02,Anionic active surfactants
242182,0.05,Kannika,12-Oct-02,Anionic active surfactants
242887,0.05,Kannika,12-Oct-02,Anionic active surfactants
243583,0.05,Kannika,12-Oct-02,Anionic active surfactants
244275,0.06,Sakda,12-Oct-02,Anionic active surfactants
244976,0.06,Sakda,12-Oct-02,Anionic active surfactants
245671,0.05,Sakda,12-Oct-02,Anionic active surfactants
238479,0.06,Somchair,26-Oct-02,Anionic active surfactants
292833,0.025,Boonsri,23-Jan-03,Anionic active surfactants
293453,0.028,Boonsri,23-Jan-03,Anionic active surfactants
294071,0.029,Boonsri,23-Jan-03,Anionic active surfactants
300364,0.041,Somchair,24-Jan-03,Anionic active surfactants
300737,0.034,Busarakhan,24-Jan-03,Anionic active surfactants
303135,0.025,Kannika,24-Jan-03,Anionic active surfactants
303498,0.026,Kannika,24-Jan-03,Anionic active surfactants
303844,0.026,Kannika,24-Jan-03,Anionic active surfactants
304203,0.068,Sakda,24-Jan-03,Anionic active surfactants
304542,0.051,Sakda,24-Jan-03,Anionic active surfactants
304888,0.045,Sakda,24-Jan-03,Anionic active surfactants
298363,0.075,Chai,29-Jan-03,Anionic active surfactants
299049,0.056,Chai,29-Jan-03,Anionic active surfactants
299717,0.062,Chai,29-Jan-03,Anionic active surfactants
292865,0.028,Boonsri,13-Feb-03,Anionic active surfactants
293485,0.026,Boonsri,13-Feb-03,Anionic active surfactants
294103,0.025,Boonsri,13-Feb-03,Anionic active surfactants
303171,0.025,Kannika,21-Feb-03,Anionic active surfactants
303532,0.032,Kannika,21-Feb-03,Anionic active surfactants
303879,0.038,Kannika,21-Feb-03,Anionic active surfactants
304238,0.025,Sakda,21-Feb-03,Anionic active surfactants
304577,0.091,Sakda,21-Feb-03,Anionic active surfactants
304922,0.057,Sakda,21-Feb-03,Anionic active surfactants
297938,0.038,Kohsoom,28-Feb-03,Anionic active surfactants
298428,0.036,Chai,28-Feb-03,Anionic active surfactants
299114,0.034,Chai,28-Feb-03,Anionic active surfactants
299782,0.028,Chai,28-Feb-03,Anionic active surfactants
300398,0.032,Somchair,28-Feb-03,Anionic active surfactants
300772,0.028,Busarakhan,28-Feb-03,Anionic active surfactants
298463,0.062,Chai,19-Mar-03,Anionic active surfactants
299145,0.052,Chai,19-Mar-03,Anionic active surfactants
299813,0.04,Chai,19-Mar-03,Anionic active surfactants
292918,0.025,Boonsri,20-Mar-03,Anionic active surfactants
293537,0.025,Boonsri,20-Mar-03,Anionic active surfactants
294155,0.041,Boonsri,20-Mar-03,Anionic active surfactants
304272,0.034,Sakda,20-Mar-03,Anionic active surfactants
304611,0.032,Sakda,20-Mar-03,Anionic active surfactants
304956,0,Sakda,20-Mar-03,Anionic active surfactants
303205,0.039,Kannika,21-Mar-03,Anionic active surfactants
303565,0.024,Kannika,21-Mar-03,Anionic active surfactants
303913,0.034,Kannika,21-Mar-03,Anionic active surfactants
297974,0.029,Kohsoom,23-Mar-03,Anionic active surfactants
292943,0.032,Boonsri,10-Apr-03,Anionic active surfactants
293561,0.031,Boonsri,10-Apr-03,Anionic active surfactants
294179,0.034,Boonsri,10-Apr-03,Anionic active surfactants
292983,0.031,Boonsri,24-Apr-03,Anionic active surfactants
293601,0.032,Boonsri,24-Apr-03,Anionic active surfactants
294219,0.034,Boonsri,24-Apr-03,Anionic active surfactants
298016,0.031,Kohsoom,26-Apr-03,Anionic active surfactants
293004,0.032,Boonsri,8-May-03,Anionic active surfactants
293622,0.028,Boonsri,8-May-03,Anionic active surfactants
294240,0.026,Boonsri,8-May-03,Anionic active surfactants
293061,0.028,Boonsri,6-Jun-03,Anionic active surfactants
293679,0.027,Boonsri,6-Jun-03,Anionic active surfactants
294297,0.033,Boonsri,6-Jun-03,Anionic active surfactants
293139,0.024,Boonsri,10-Jul-03,Anionic active surfactants
293757,0.026,Boonsri,10-Jul-03,Anionic active surfactants
294375,0.027,Boonsri,10-Jul-03,Anionic active surfactants
293260,0.074,Boonsri,9-Oct-03,Anionic active surfactants
293878,0.072,Boonsri,9-Oct-03,Anionic active surfactants
294496,0.072,Boonsri,9-Oct-03,Anionic active surfactants
293326,0.028,Boonsri,13-Nov-03,Anionic active surfactants
293944,0.031,Boonsri,13-Nov-03,Anionic active surfactants
294562,0.027,Boonsri,13-Nov-03,Anionic active surfactants
293393,0.031,Boonsri,4-Dec-03,Anionic active surfactants
294011,0.029,Boonsri,4-Dec-03,Anionic active surfactants
294629,0.027,Boonsri,4-Dec-03,Anionic active surfactants
298967,0.1114,Chai,14-Dec-03,Anionic active surfactants
299635,0.1143,Chai,14-Dec-03,Anionic active surfactants
300313,0.1178,Chai,14-Dec-03,Anionic active surfactants
501127,0,Boonsri,8-Jan-04,Anionic active surfactants
511290,0.0376,Chai,22-Jan-04,Anionic active surfactants
512281,0.0455,Chai,22-Jan-04,Anionic active surfactants
513434,0.0499,Chai,22-Jan-04,Anionic active surfactants
501191,0,Boonsri,12-Feb-04,Anionic active surfactants
502319,0,Boonsri,12-Feb-04,Anionic active surfactants
503533,0,Boonsri,12-Feb-04,Anionic active surfactants
501250,0,Boonsri,12-Mar-04,Anionic active surfactants
502394,0,Boonsri,12-Mar-04,Anionic active surfactants
503590,0,Boonsri,12-Mar-04,Anionic active surfactants
511411,0.255,Chai,12-Mar-04,Anionic active surfactants
512425,0.281,Chai,12-Mar-04,Anionic active surfactants
513555,0.272,Chai,12-Mar-04,Anionic active surfactants
501314,0,Boonsri,9-Apr-04,Anionic active surfactants
502475,0,Boonsri,9-Apr-04,Anionic active surfactants
503656,0,Boonsri,9-Apr-04,Anionic active surfactants
511473,0.093,Chai,12-Apr-04,Anionic active surfactants
512503,0.068,Chai,12-Apr-04,Anionic active surfactants
513616,0.128,Chai,12-Apr-04,Anionic active surfactants
501368,0,Boonsri,7-May-04,Anionic active surfactants
502545,0,Boonsri,7-May-04,Anionic active surfactants
503710,0,Boonsri,7-May-04,Anionic active surfactants
